learn:ktx.csv check:xkd.csv 	 Result: 	0.25199638190043355 	7317 	2577
  	class: 手指  	d: 4  	pt: 2.0  	diff:  手指A0.8571428571428571 手指头A0.14285714285714285 指尖B1.0
  	class: 肥沃  	d: 4  	pt: 2.0  	diff:  肥A1.0 肥沃B1.0
  	class: 地形  	d: 6  	pt: 2.0  	diff:  地形A1.0 形势B0.975 势B0.025
  	class: 开端  	d: 10  	pt: 2.0  	diff:  前奏A1.0 开局B0.8571428571428571 序幕B0.14285714285714285
  	class: 诬蔑  	d: 19  	pt: 2.0  	diff:  诽谤A0.25 中伤A0.25 造谣A0.25 诋毁A0.25 诬蔑B0.5 非议B0.5
  	class: 大厦  	d: 8  	pt: 2.0  	diff:  高楼A1.0 大厦B1.0
  	class: 公堂  	d: 3  	pt: 2.0  	diff:  大堂A1.0 大会堂B1.0
  	class: 胡同  	d: 7  	pt: 2.0  	diff:  弄堂A1.0 巷子B1.0
  	class: 寺  	d: 9  	pt: 2.0  	diff:  寺庙A1.0 寺院B1.0
  	class: 计算机  	d: 8  	pt: 2.0  	diff:  电脑A1.0 计算机B1.0
  	class: 赛车  	d: 2  	pt: 2.0  	diff:  赛车A1.0 跑车B1.0
  	class: 色子  	d: 2  	pt: 2.0  	diff:  骰子A1.0 色子B1.0
  	class: 旋转  	d: 14  	pt: 2.0  	diff:  兜A0.2857142857142857 旋转A0.5714285714285714 转悠A0.14285714285714285 筋斗B1.0
  	class: 钱包  	d: 4  	pt: 2.0  	diff:  钱包A1.0 腰包B1.0
  	class: 袋  	d: 6  	pt: 2.0  	diff:  兜子A1.0 袋子B1.0
  	class: 单据  	d: 3  	pt: 2.0  	diff:  字据A1.0 票证B1.0
  	class: 筹备  	d: 7  	pt: 2.0  	diff:  筹备A1.0 筹划B1.0
  	class: 照亮  	d: 5  	pt: 2.0  	diff:  照亮A1.0 烛照B1.0
  	class: 睡衣  	d: 2  	pt: 2.0  	diff:  睡衣A1.0 睡袍B1.0
  	class: 衬衣  	d: 2  	pt: 2.0  	diff:  衬衫A1.0 衬衣B1.0
  	class: 官职  	d: 5  	pt: 2.0  	diff:  前程A1.0 乌纱帽B1.0
  	class: 出丑  	d: 20  	pt: 2.0  	diff:  出丑A0.4 丢脸A0.6 下不来B1.0
  	class: 天理  	d: 2  	pt: 2.0  	diff:  天理A1.0 天道B1.0
  	class: 凋敝  	d: 10  	pt: 2.0  	diff:  淡A1.0 不景气B1.0
  	class: 节省  	d: 7  	pt: 2.0  	diff:  节A0.6666666666666666 节省A0.3333333333333333 节约B1.0
  	class: 生日  	d: 8  	pt: 2.0  	diff:  八字A1.0 诞辰B1.0
  	class: 白天  	d: 10  	pt: 2.0  	diff:  大白天A1.0 青天白日B1.0
  	class: 缝纫  	d: 3  	pt: 2.0  	diff:  缝A1.0 缝纫B1.0
  	class: 婚事  	d: 7  	pt: 2.0  	diff:  婚姻A0.8571428571428571 终身大事A0.14285714285714285 喜事B1.0
  	class: 动荡  	d: 26  	pt: 2.0  	diff:  骚动A0.6666666666666666 荒乱A0.3333333333333333 动乱B0.3333333333333333 动荡B0.6666666666666666
  	class: 受冤  	d: 11  	pt: 2.0  	diff:  冤枉A1.0 冤屈B1.0
  	class: 道德  	d: 5  	pt: 2.0  	diff:  德性A1.0 道义B1.0
  	class: 矛盾  	d: 5  	pt: 2.0  	diff:  拧A1.0 抵触B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  鉴定A0.3333333333333333 评定A0.6666666666666666 考评B1.0
  	class: 敲诈  	d: 7  	pt: 2.0  	diff:  敲A1.0 敲诈B1.0
  	class: 谣言  	d: 4  	pt: 2.0  	diff:  谣A1.0 妄言B1.0
  	class: 绝路  	d: 5  	pt: 2.0  	diff:  末路A1.0 死路B1.0
  	class: 归于  	d: 8  	pt: 2.0  	diff:  归属A1.0 直辖B0.25 归于B0.5 名下B0.25
  	class: 用处  	d: 3  	pt: 2.0  	diff:  用场A1.0 用途B1.0
  	class: 恶势力  	d: 5  	pt: 2.0  	diff:  魔爪A1.0 铁蹄B1.0
  	class: 情理  	d: 2  	pt: 2.0  	diff:  物理A1.0 情理B1.0
  	class: 关系  	d: 2  	pt: 2.0  	diff:  干系A1.0 瓜葛B1.0
  	class: 厚意  	d: 6  	pt: 2.0  	diff:  深情A1.0 盛情B1.0
  	class: 幻境  	d: 5  	pt: 2.0  	diff:  幻梦A1.0 幻像B1.0
  	class: 视力  	d: 3  	pt: 2.0  	diff:  眼神A1.0 目力B1.0
  	class: 也许  	d: 14  	pt: 2.0  	diff:  指不定A1.0 容许B1.0
  	class: 害处  	d: 7  	pt: 2.0  	diff:  流弊A0.6 坏处A0.4 弊端B0.8888888888888888 弊病B0.1111111111111111
  	class: 轻微  	d: 7  	pt: 2.0  	diff:  细微A0.6666666666666666 分寸A0.3333333333333333 细小B1.0
  	class: 能够  	d: 5  	pt: 2.0  	diff:  可知A1.0 亦可B1.0
  	class: 尊称  	d: 2  	pt: 2.0  	diff:  大号A1.0 尊称B1.0
  	class: 外号  	d: 4  	pt: 2.0  	diff:  外号A1.0 绰号B1.0
  	class: 忧愁  	d: 17  	pt: 2.0  	diff:  愁A0.4 忧愁A0.2 忧伤A0.2 发愁A0.2 忧B1.0
  	class: 杂技  	d: 3  	pt: 2.0  	diff:  杂耍A0.25 杂技A0.75 把戏B1.0
  	class: 臆断  	d: 4  	pt: 2.0  	diff:  臆想A1.0 臆测B1.0
  	class: 落空  	d: 11  	pt: 2.0  	diff:  吹A0.9090909090909091 一场空A0.045454545454545456 落空A0.045454545454545456 未遂B0.5 泡汤B0.5
  	class: 情致  	d: 7  	pt: 2.0  	diff:  情趣A1.0 趣味B0.5 看头B0.5
  	class: 小康  	d: 6  	pt: 2.0  	diff:  过得去A1.0 温饱B1.0
  	class: 专制  	d: 16  	pt: 2.0  	diff:  专制A1.0 独裁B1.0
  	class: 右派  	d: 2  	pt: 2.0  	diff:  右派A1.0 右翼B1.0
  	class: 复习  	d: 6  	pt: 2.0  	diff:  复习A1.0 习B1.0
  	class: 教育  	d: 14  	pt: 2.0  	diff:  感化A0.5 教导A0.5 教诲B1.0
  	class: 清洁  	d: 16  	pt: 2.0  	diff:  清新A0.7272727272727273 整洁A0.2727272727272727 清洁B0.75 净化B0.25
  	class: 吝啬  	d: 16  	pt: 2.0  	diff:  抠门A0.75 小气A0.25 吝啬B1.0
  	class: 克制  	d: 10  	pt: 2.0  	diff:  憋A0.4375 自持A0.125 自制A0.125 压抑A0.3125 克制B1.0
  	class: 措辞  	d: 2  	pt: 2.0  	diff:  用语A1.0 措辞B1.0
  	class: 字句  	d: 2  	pt: 2.0  	diff:  词句A1.0 字句B1.0
  	class: 忠言  	d: 4  	pt: 2.0  	diff:  真言A1.0 诤言B1.0
  	class: 噜苏  	d: 6  	pt: 2.0  	diff:  废话A1.0 赘述B1.0
  	class: 论调  	d: 2  	pt: 2.0  	diff:  调调A1.0 论调B1.0
  	class: 处方  	d: 4  	pt: 2.0  	diff:  方子A1.0 药方B1.0
  	class: 丛书  	d: 4  	pt: 2.0  	diff:  丛书A1.0 文库B1.0
  	class: 结语  	d: 3  	pt: 2.0  	diff:  煞笔A1.0 结语B1.0
  	class: 摊  	d: 13  	pt: 2.0  	diff:  小摊A1.0 摊子B1.0
  	class: 拔  	d: 8  	pt: 2.0  	diff:  拔A1.0 薅B0.5 拔出B0.5
  	class: 细  	d: 11  	pt: 2.0  	diff:  纤细A1.0 细细B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  翻天A1.0 颠覆B1.0
  	class: 宽敞  	d: 10  	pt: 2.0  	diff:  宽敞A1.0 宽阔B1.0
  	class: 安静  	d: 35  	pt: 2.0  	diff:  静A0.2 寂静A0.4 沉静A0.2 清净A0.2 肃静B0.3333333333333333 沉寂B0.6666666666666666
  	class: 狭隘  	d: 6  	pt: 2.0  	diff:  狭隘A1.0 窄B0.5 狭窄B0.5
  	class: 弱小  	d: 15  	pt: 2.0  	diff:  弱小A0.3333333333333333 柔弱A0.5 微弱A0.16666666666666666 虚弱B1.0
  	class: 翘  	d: 6  	pt: 2.0  	diff:  抬A0.6666666666666666 翘A0.3333333333333333 企B1.0
  	class: 升降  	d: 9  	pt: 2.0  	diff:  升降A1.0 沉降B1.0
  	class: 繁多  	d: 17  	pt: 2.0  	diff:  繁多A1.0 繁B0.5 形形色色B0.5
  	class: 遗漏  	d: 5  	pt: 2.0  	diff:  疏漏A0.4 漏掉A0.6 遗漏B1.0
  	class: 激昂  	d: 19  	pt: 2.0  	diff:  昂昂A1.0 昂扬B1.0
  	class: 绚丽  	d: 19  	pt: 2.0  	diff:  灿A1.0 灿烂B1.0
  	class: 光滑  	d: 12  	pt: 2.0  	diff:  滑润A1.0 光滑B1.0
  	class: 如梭  	d: 4  	pt: 2.0  	diff:  速成A1.0 高效率B1.0
  	class: 飞驰  	d: 5  	pt: 2.0  	diff:  疾驰A1.0 奔驰B1.0
  	class: 剧变  	d: 7  	pt: 2.0  	diff:  骤变A1.0 剧变B1.0
  	class: 回头  	d: 3  	pt: 2.0  	diff:  转脸A0.6666666666666666 扭头A0.3333333333333333 掉头B1.0
  	class: 新式  	d: 12  	pt: 2.0  	diff:  新颖A1.0 行时B1.0
  	class: 鲜艳  	d: 12  	pt: 2.0  	diff:  明艳A0.5 美艳A0.5 鲜艳B1.0
  	class: 酸  	d: 5  	pt: 2.0  	diff:  酸A1.0 发酸B1.0
  	class: 便宜  	d: 10  	pt: 2.0  	diff:  贱A1.0 低价B1.0
  	class: 特意  	d: 7  	pt: 2.0  	diff:  特地A1.0 专程B1.0
  	class: 广博  	d: 11  	pt: 2.0  	diff:  博大A1.0 广袤B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  呆滞A0.6 平板A0.4 生硬B1.0
  	class: 站稳  	d: 5  	pt: 2.0  	diff:  站稳A1.0 站队B1.0
  	class: 飘  	d: 25  	pt: 2.0  	diff:  飘A1.0 回荡B0.4 飘荡B0.2 飘扬B0.4
  	class: 流泪  	d: 7  	pt: 2.0  	diff:  落泪A1.0 流泪B1.0
  	class: 急切  	d: 12  	pt: 2.0  	diff:  急切A1.0 迫切B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  悲壮A1.0 痛心B0.5 沉痛B0.25 悲愤B0.25
  	class: 必要  	d: 10  	pt: 2.0  	diff:  必备A1.0 必需B1.0
