learn:mm.csv check:xkd.csv 	 Result: 	0.28625456813134137 	5229 	1906
  	class: 厅  	d: 10  	pt: 2.0  	diff:  客厅A1.0 厅B0.25 大厅B0.75
  	class: 割裂  	d: 7  	pt: 2.0  	diff:  隔断A1.0 隔离B0.3333333333333333 隔绝B0.08333333333333333 割裂B0.16666666666666666 切断B0.4166666666666667
  	class: 马路  	d: 4  	pt: 2.0  	diff:  马路A1.0 街道B1.0
  	class: 集市  	d: 9  	pt: 2.0  	diff:  街A0.5 场A0.5 庙B0.25 市集B0.25 集市B0.25 庙会B0.25
  	class: 局限  	d: 4  	pt: 2.0  	diff:  局限A1.0 囿于B1.0
  	class: 计算机  	d: 8  	pt: 2.0  	diff:  电脑A1.0 计算机B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 船  	d: 9  	pt: 2.0  	diff:  艇A1.0 船舶B0.125 船B0.375 船只B0.5
  	class: 色子  	d: 2  	pt: 2.0  	diff:  骰子A1.0 色子B1.0
  	class: 旋转  	d: 14  	pt: 2.0  	diff:  旋转A1.0 筋斗B1.0
  	class: 钱包  	d: 4  	pt: 2.0  	diff:  钱包A1.0 腰包B1.0
  	class: 抄写  	d: 13  	pt: 2.0  	diff:  抄送A1.0 照抄B0.3333333333333333 抄写B0.6666666666666666
  	class: 门票  	d: 2  	pt: 2.0  	diff:  入场券A1.0 门票B1.0
  	class: 书籍  	d: 8  	pt: 2.0  	diff:  本本A1.0 图书B1.0
  	class: 一会儿  	d: 20  	pt: 2.0  	diff:  会儿A1.0 少时B1.0
  	class: 斗笠  	d: 5  	pt: 2.0  	diff:  斗篷A1.0 草帽B1.0
  	class: 睡衣  	d: 2  	pt: 2.0  	diff:  睡衣A1.0 睡袍B1.0
  	class: 衬衣  	d: 2  	pt: 2.0  	diff:  衬衫A1.0 衬衣B1.0
  	class: 下药  	d: 7  	pt: 2.0  	diff:  用药A1.0 毒B1.0
  	class: 出丑  	d: 20  	pt: 2.0  	diff:  丢脸A1.0 下不来B1.0
  	class: 向  	d: 12  	pt: 2.0  	diff:  奔A0.5 朝向A0.5 通向B1.0
  	class: 天理  	d: 2  	pt: 2.0  	diff:  天理A1.0 天道B1.0
  	class: 天国  	d: 7  	pt: 2.0  	diff:  天堂A1.0 净土B1.0
  	class: 挨次  	d: 20  	pt: 2.0  	diff:  逐A1.0 顺序B1.0
  	class: 暗中  	d: 22  	pt: 2.0  	diff:  私下里A1.0 私下B1.0
  	class: 集镇  	d: 5  	pt: 2.0  	diff:  镇子A1.0 集镇B1.0
  	class: 途径  	d: 10  	pt: 2.0  	diff:  路子A1.0 途径B0.7333333333333333 路线B0.13333333333333333 门道B0.06666666666666667 路径B0.06666666666666667
  	class: 婚事  	d: 7  	pt: 2.0  	diff:  婚姻A1.0 喜事B1.0
  	class: 隐瞒  	d: 5  	pt: 2.0  	diff:  瞒A1.0 隐瞒B0.9090909090909091 隐秘B0.09090909090909091
  	class: 自动  	d: 9  	pt: 2.0  	diff:  电动A1.0 机关B1.0
  	class: 比作  	d: 6  	pt: 2.0  	diff:  好比A1.0 比喻B1.0
  	class: 矛盾  	d: 5  	pt: 2.0  	diff:  拧A1.0 抵触B1.0
  	class: 惭愧  	d: 15  	pt: 2.0  	diff:  羞愧A1.0 耻B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  评定A1.0 考评B1.0
  	class: 偏袒  	d: 6  	pt: 2.0  	diff:  偏袒A1.0 偏向B1.0
  	class: 反常  	d: 17  	pt: 2.0  	diff:  不规则A1.0 畸形B1.0
  	class: 敲诈  	d: 7  	pt: 2.0  	diff:  敲A1.0 敲诈B1.0
  	class: 生命  	d: 4  	pt: 2.0  	diff:  性命A1.0 人命B1.0
  	class: 晚景  	d: 6  	pt: 2.0  	diff:  夜景A1.0 夜色B1.0
  	class: 情理  	d: 2  	pt: 2.0  	diff:  物理A1.0 情理B1.0
  	class: 厚意  	d: 6  	pt: 2.0  	diff:  深情A1.0 盛情B1.0
  	class: 幻想  	d: 7  	pt: 2.0  	diff:  做梦A1.0 妄想B1.0
  	class: 退步  	d: 13  	pt: 2.0  	diff:  落伍A1.0 落后B0.5384615384615384 倒退B0.15384615384615385 滞后B0.11538461538461539 后退B0.11538461538461539 退步B0.038461538461538464 退化B0.038461538461538464
  	class: 视力  	d: 3  	pt: 2.0  	diff:  眼神A1.0 目力B1.0
