learn:gkw.csv check:xkd.csv 	 Result: 	0.24434943820435345 	8137 	2867
  	class: 雕刻  	d: 18  	pt: 2.0  	diff:  刻A0.2 雕琢A0.3333333333333333 雕像A0.2 琢磨A0.26666666666666666 镌刻B1.0
  	class: 麻将  	d: 2  	pt: 2.0  	diff:  麻雀A1.0 麻将B1.0
  	class: 贬值  	d: 3  	pt: 2.0  	diff:  毛A1.0 贬值B1.0
  	class: 颊  	d: 10  	pt: 2.0  	diff:  脸颊A0.6666666666666666 脸孔A0.3333333333333333 脸庞B1.0
  	class: 唇  	d: 3  	pt: 2.0  	diff:  嘴唇A1.0 嘴皮子B1.0
  	class: 要道  	d: 4  	pt: 2.0  	diff:  咽喉A1.0 要道B1.0
  	class: 肩  	d: 5  	pt: 2.0  	diff:  肩头A0.25 肩膀A0.75 肩B1.0
  	class: 存心  	d: 6  	pt: 2.0  	diff:  饮A0.75 心怀A0.25 怀抱B1.0
  	class: 发誓  	d: 9  	pt: 2.0  	diff:  誓死A0.16666666666666666 发誓A0.8333333333333334 宣誓B0.9736842105263158 赌咒B0.02631578947368421
  	class: 礁石  	d: 4  	pt: 2.0  	diff:  礁石A1.0 岛礁B1.0
  	class: 诬蔑  	d: 19  	pt: 2.0  	diff:  造谣A0.3333333333333333 中伤A0.3333333333333333 诋毁A0.3333333333333333 诬蔑B0.5 非议B0.5
  	class: 堡垒  	d: 6  	pt: 2.0  	diff:  堡垒A1.0 碉堡B1.0
  	class: 坟墓  	d: 10  	pt: 2.0  	diff:  墓A1.0 坟墓B0.5 坟B0.5
  	class: 电动机  	d: 3  	pt: 2.0  	diff:  电动机A1.0 电机B1.0
  	class: 螺钉  	d: 3  	pt: 2.0  	diff:  螺钉A1.0 螺丝B1.0
  	class: 号  	d: 21  	pt: 2.0  	diff:  号A1.0 喇叭B0.5 呼号B0.5
  	class: 军舰  	d: 10  	pt: 2.0  	diff:  战舰A1.0 舰B0.07692307692307693 军舰B0.7692307692307693 舰船B0.15384615384615385
  	class: 色子  	d: 2  	pt: 2.0  	diff:  骰子A1.0 色子B1.0
  	class: 琐碎  	d: 11  	pt: 2.0  	diff:  零星A1.0 琐碎B1.0
  	class: 旋转  	d: 14  	pt: 2.0  	diff:  旋转A0.8333333333333334 兜A0.08333333333333333 转悠A0.08333333333333333 筋斗B1.0
  	class: 钱包  	d: 4  	pt: 2.0  	diff:  钱包A1.0 腰包B1.0
  	class: 棋  	d: 3  	pt: 2.0  	diff:  棋类A1.0 棋子B1.0
  	class: 手纸  	d: 5  	pt: 2.0  	diff:  手纸A1.0 废纸B0.5 卫生纸B0.5
  	class: 亏  	d: 13  	pt: 2.0  	diff:  折A1.0 赔B1.0
  	class: 食谱  	d: 4  	pt: 2.0  	diff:  菜谱A0.2857142857142857 食谱A0.7142857142857143 菜单B1.0
  	class: 筹备  	d: 7  	pt: 2.0  	diff:  制备A0.5 筹备A0.5 筹划B1.0
  	class: 号码  	d: 3  	pt: 2.0  	diff:  编号A1.0 号码B1.0
  	class: 照亮  	d: 5  	pt: 2.0  	diff:  照亮A0.8333333333333334 照明A0.16666666666666666 烛照B1.0
  	class: 斗笠  	d: 5  	pt: 2.0  	diff:  斗篷A1.0 草帽B1.0
  	class: 衬衣  	d: 2  	pt: 2.0  	diff:  衬衫A1.0 衬衣B1.0
  	class: 荤菜  	d: 4  	pt: 2.0  	diff:  荤菜A1.0 大鱼B1.0
  	class: 下水  	d: 2  	pt: 2.0  	diff:  下水A1.0 下行B1.0
  	class: 糖  	d: 3  	pt: 2.0  	diff:  糖类A1.0 食糖B1.0
  	class: 阵  	d: 4  	pt: 2.0  	diff:  阵A1.0 阵子B1.0
