learn:dsjwz.csv check:mm.csv 	 Result: 	0.28257326573158387 	4534 	1775
  	class: 行市  	d: 4  	pt: 2.0  	diff:  行情A1.0 盘子B1.0
  	class: 剧本  	d: 5  	pt: 2.0  	diff:  脚本A1.0 剧本B1.0
  	class: 书籍  	d: 8  	pt: 2.0  	diff:  书籍A0.8536585365853658 图书A0.14634146341463414 本本B1.0
  	class: 一会儿  	d: 20  	pt: 2.0  	diff:  少时A1.0 会儿B1.0
  	class: 漏  	d: 3  	pt: 2.0  	diff:  渗透A1.0 漏B1.0
  	class: 适应  	d: 4  	pt: 2.0  	diff:  适于A1.0 服B1.0
  	class: 领子  	d: 3  	pt: 2.0  	diff:  衣领A1.0 领子B1.0
  	class: 考卷  	d: 3  	pt: 2.0  	diff:  试卷A0.5 考卷A0.5 卷子B1.0
  	class: 期限  	d: 5  	pt: 2.0  	diff:  期限A1.0 时限B1.0
  	class: 公开  	d: 16  	pt: 2.0  	diff:  自明A1.0 当众B1.0
  	class: 座位  	d: 6  	pt: 2.0  	diff:  座位A1.0 位子B1.0
  	class: 挨次  	d: 20  	pt: 2.0  	diff:  顺序A1.0 逐B1.0
  	class: 邻近  	d: 10  	pt: 2.0  	diff:  相邻A0.8636363636363636 邻A0.09090909090909091 紧邻A0.045454545454545456 邻座B1.0
  	class: 境况  	d: 5  	pt: 2.0  	diff:  境遇A1.0 手头B1.0
  	class: 地方  	d: 5  	pt: 2.0  	diff:  地区A0.7727272727272727 域A0.1590909090909091 地域A0.06818181818181818 地带B1.0
  	class: 途径  	d: 10  	pt: 2.0  	diff:  路径A0.7191011235955056 路线A0.12359550561797752 途径A0.15730337078651685 路子B1.0
  	class: 家产  	d: 10  	pt: 2.0  	diff:  产业A1.0 家当B1.0
  	class: 深奥  	d: 12  	pt: 2.0  	diff:  艰深A1.0 深邃B1.0
  	class: 隐瞒  	d: 5  	pt: 2.0  	diff:  隐瞒A1.0 瞒B1.0
  	class: 抢劫  	d: 20  	pt: 2.0  	diff:  抢劫A0.2 抢走A0.6 抢夺A0.2 夺走B1.0
  	class: 荣誉  	d: 3  	pt: 2.0  	diff:  殊荣A1.0 光彩B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  鉴定A1.0 评定B1.0
  	class: 性生活  	d: 3  	pt: 2.0  	diff:  性行为A1.0 性生活B1.0
  	class: 重量  	d: 7  	pt: 2.0  	diff:  份额A0.8 重量A0.2 分量B1.0
  	class: 力气  	d: 4  	pt: 2.0  	diff:  马力A1.0 力气B1.0
  	class: 竭力  	d: 31  	pt: 2.0  	diff:  力图A1.0 拼命B0.4444444444444444 用力B0.4444444444444444 使劲B0.1111111111111111
  	class: 地心引力  	d: 5  	pt: 2.0  	diff:  重力A1.0 地心引力B1.0
  	class: 改名  	d: 6  	pt: 2.0  	diff:  更名A1.0 化名B0.5 改名B0.5
  	class: 天然  	d: 13  	pt: 2.0  	diff:  天赋A0.6666666666666666 自发A0.16666666666666666 原生态A0.16666666666666666 天生B1.0
  	class: 感动  	d: 6  	pt: 2.0  	diff:  动容A1.0 感触B1.0
  	class: 心灵  	d: 7  	pt: 2.0  	diff:  心灵A1.0 眼尖B1.0
  	class: 恨  	d: 5  	pt: 2.0  	diff:  怨恨A1.0 恨B1.0
  	class: 意志  	d: 5  	pt: 2.0  	diff:  定性A1.0 意志B0.4 毅力B0.6
  	class: 食量  	d: 3  	pt: 2.0  	diff:  胃口A1.0 食量B1.0
  	class: 阴魂  	d: 7  	pt: 2.0  	diff:  鬼魂A0.3333333333333333 幽灵A0.6666666666666666 亡灵B1.0
  	class: 全家  	d: 6  	pt: 2.0  	diff:  一家子A1.0 全家人B0.3333333333333333 全家B0.6666666666666666
  	class: 截  	d: 4  	pt: 2.0  	diff:  段落A1.0 截B1.0
  	class: 作战  	d: 8  	pt: 2.0  	diff:  战A0.75 作战A0.25 上阵B0.3333333333333333 打仗B0.6666666666666666
  	class: 暴行  	d: 4  	pt: 2.0  	diff:  暴行A1.0 横行B1.0
  	class: 订约  	d: 11  	pt: 2.0  	diff:  协定A0.6666666666666666 签订A0.3333333333333333 订B1.0
  	class: 债务  	d: 2  	pt: 2.0  	diff:  债务A1.0 债B1.0
  	class: 储蓄  	d: 6  	pt: 2.0  	diff:  储蓄A1.0 攒B0.8 存款B0.2
  	class: 引起  	d: 9  	pt: 2.0  	diff:  挑起A0.5 引A0.5 逗B0.5714285714285714 唤起B0.14285714285714285 惹B0.2857142857142857
  	class: 手书  	d: 3  	pt: 2.0  	diff:  亲笔A1.0 手书B1.0
  	class: 辞职  	d: 6  	pt: 2.0  	diff:  辞去A1.0 辞职B1.0
  	class: 萧条  	d: 5  	pt: 2.0  	diff:  走低A1.0 清淡B1.0
  	class: 谈天  	d: 23  	pt: 2.0  	diff:  聊聊A1.0 扯B0.5 闲聊B0.25 扯淡B0.25
  	class: 注释  	d: 5  	pt: 2.0  	diff:  注释A1.0 诠释B1.0
  	class: 储藏  	d: 12  	pt: 2.0  	diff:  收藏A0.9230769230769231 储藏A0.07692307692307693 藏B1.0
  	class: 文学  	d: 2  	pt: 2.0  	diff:  文学A1.0 文艺B1.0
  	class: 动画片  	d: 4  	pt: 2.0  	diff:  动画A1.0 动画片B1.0
  	class: 瘫痪  	d: 8  	pt: 2.0  	diff:  瘫痪A1.0 瘫B1.0
  	class: 公安局  	d: 10  	pt: 2.0  	diff:  警方A0.75 警察局A0.125 公安部A0.125 派出所B1.0
  	class: 体育场  	d: 3  	pt: 2.0  	diff:  体育场A1.0 操场B1.0
  	class: 宽度  	d: 19  	pt: 2.0  	diff:  步长A0.47368421052631576 小幅A0.05263157894736842 增长率A0.3157894736842105 宽度A0.15789473684210525 开间B1.0
  	class: 大  	d: 12  	pt: 2.0  	diff:  宏A0.05263157894736842 庞大A0.8947368421052632 硕A0.05263157894736842 硕大B1.0
  	class: 倍数  	d: 4  	pt: 2.0  	diff:  倍数A0.14285714285714285 翻番A0.8571428571428571 倍儿B1.0
  	class: 叠  	d: 5  	pt: 2.0  	diff:  折叠A1.0 叠B1.0
  	class: 重叠  	d: 7  	pt: 2.0  	diff:  层A0.3333333333333333 重叠A0.6666666666666666 臃肿B1.0
  	class: 雄壮  	d: 29  	pt: 2.0  	diff:  澎湃A0.4 宏伟A0.6 堂堂B1.0
