learn:gkw.csv check:ktx.csv 	 Result: 	0.22473286489119315 	8481 	3091
  	class: 赛车  	d: 2  	pt: 2.0  	diff:  跑车A1.0 赛车B1.0
  	class: 军舰  	d: 10  	pt: 2.0  	diff:  战舰A1.0 军舰B1.0
  	class: 花瓶  	d: 2  	pt: 2.0  	diff:  花瓶A1.0 花插B1.0
  	class: 袋  	d: 6  	pt: 2.0  	diff:  袋子A1.0 兜子B1.0
  	class: 棋  	d: 3  	pt: 2.0  	diff:  棋类A1.0 棋子B0.5 棋B0.5
  	class: 拷贝  	d: 2  	pt: 2.0  	diff:  拷贝A1.0 正片B1.0
  	class: 幌子  	d: 3  	pt: 2.0  	diff:  幌子A1.0 旗号B1.0
  	class: 钢索  	d: 3  	pt: 2.0  	diff:  钢丝绳A0.3333333333333333 钢缆A0.6666666666666666 钢索B1.0
  	class: 书桌  	d: 6  	pt: 2.0  	diff:  书桌A1.0 办公桌B1.0
  	class: 针织  	d: 2  	pt: 2.0  	diff:  针织物A1.0 针织B1.0
  	class: 领子  	d: 3  	pt: 2.0  	diff:  衣领A1.0 领口B1.0
  	class: 面粉  	d: 2  	pt: 2.0  	diff:  面粉A1.0 白面B1.0
  	class: 冷盘  	d: 3  	pt: 2.0  	diff:  小吃A1.0 拼盘B1.0
  	class: 膏  	d: 2  	pt: 2.0  	diff:  药膏A1.0 膏药B1.0
  	class: 阵  	d: 4  	pt: 2.0  	diff:  阵A1.0 阵子B1.0
  	class: 天理  	d: 2  	pt: 2.0  	diff:  天道A1.0 天理B1.0
  	class: 关头  	d: 8  	pt: 2.0  	diff:  契机A1.0 关头B0.5 转折点B0.5
  	class: 座位  	d: 6  	pt: 2.0  	diff:  席位A0.7142857142857143 坐位A0.2857142857142857 座位B0.8717948717948718 位子B0.1282051282051282
  	class: 天国  	d: 7  	pt: 2.0  	diff:  天堂A1.0 净土B1.0
  	class: 邻近  	d: 10  	pt: 2.0  	diff:  相邻A1.0 邻座B1.0
  	class: 边疆  	d: 7  	pt: 2.0  	diff:  国境A0.4 边境A0.6 国门B1.0
  	class: 内地  	d: 2  	pt: 2.0  	diff:  腹地A1.0 内地B1.0
  	class: 领土  	d: 12  	pt: 2.0  	diff:  国土A1.0 版图B1.0
  	class: 缝  	d: 10  	pt: 2.0  	diff:  缝隙A0.8333333333333334 裂隙A0.08333333333333333 孔隙A0.08333333333333333 夹缝B1.0
  	class: 危险  	d: 37  	pt: 2.0  	diff:  危急A1.0 险恶B0.5 高危B0.5
  	class: 功劳  	d: 5  	pt: 2.0  	diff:  功劳A1.0 功德B1.0
  	class: 家事  	d: 2  	pt: 2.0  	diff:  家务事A1.0 家政B1.0
  	class: 惨境  	d: 8  	pt: 2.0  	diff:  火坑A1.0 地狱B0.5 炼狱B0.5
  	class: 大业  	d: 3  	pt: 2.0  	diff:  伟业A1.0 大业B1.0
  	class: 上下  	d: 4  	pt: 2.0  	diff:  好坏A0.7777777777777778 优劣A0.2222222222222222 天壤B1.0
  	class: 西餐  	d: 2  	pt: 2.0  	diff:  大菜A1.0 西餐B1.0
  	class: 教义  	d: 2  	pt: 2.0  	diff:  福音A1.0 教义B1.0
  	class: 谣言  	d: 4  	pt: 2.0  	diff:  谣言A1.0 谣B1.0
