learn:gkw.csv check:mm.csv 	 Result: 	0.24131683703322554 	6319 	2290
  	class: 化装  	d: 5  	pt: 2.0  	diff:  假扮A0.5 扮成A0.5 上装B1.0
  	class: 背心  	d: 3  	pt: 2.0  	diff:  坎肩A1.0 背心B1.0
  	class: 领子  	d: 3  	pt: 2.0  	diff:  衣领A1.0 领子B1.0
  	class: 靴  	d: 2  	pt: 2.0  	diff:  靴子A1.0 靴B1.0
  	class: 烧饼  	d: 3  	pt: 2.0  	diff:  火烧A1.0 大饼B1.0
  	class: 膏  	d: 2  	pt: 2.0  	diff:  药膏A1.0 膏药B1.0
  	class: 天理  	d: 2  	pt: 2.0  	diff:  天道A1.0 天理B1.0
  	class: 关头  	d: 8  	pt: 2.0  	diff:  契机A1.0 转机B1.0
  	class: 座位  	d: 6  	pt: 2.0  	diff:  席位A0.7142857142857143 坐位A0.2857142857142857 位子B1.0
  	class: 暗中  	d: 22  	pt: 2.0  	diff:  私下A1.0 私下里B1.0
  	class: 邻近  	d: 10  	pt: 2.0  	diff:  相邻A1.0 邻座B1.0
  	class: 村庄  	d: 9  	pt: 2.0  	diff:  村A1.0 村庄B1.0
  	class: 家产  	d: 10  	pt: 2.0  	diff:  产业A1.0 家当B1.0
  	class: 家事  	d: 2  	pt: 2.0  	diff:  家务事A1.0 家政B1.0
  	class: 隐瞒  	d: 5  	pt: 2.0  	diff:  隐秘A0.7777777777777778 隐瞒A0.2222222222222222 瞒B1.0
  	class: 抢劫  	d: 20  	pt: 2.0  	diff:  攫取A0.14285714285714285 抢走A0.14285714285714285 劫A0.14285714285714285 争抢A0.14285714285714285 掠夺A0.14285714285714285 抢夺A0.2857142857142857 夺走B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  评比A0.05263157894736842 鉴定A0.9473684210526315 评定B1.0
  	class: 偏袒  	d: 6  	pt: 2.0  	diff:  偏向A1.0 偏袒B1.0
  	class: 兴致  	d: 9  	pt: 2.0  	diff:  兴致A0.6666666666666666 劲头A0.3333333333333333 来头B1.0
  	class: 概况  	d: 8  	pt: 2.0  	diff:  概况A1.0 轮廓B1.0
  	class: 反射  	d: 6  	pt: 2.0  	diff:  反射A1.0 映B1.0
  	class: 缘分  	d: 5  	pt: 2.0  	diff:  缘分A1.0 姻缘B1.0
  	class: 退步  	d: 13  	pt: 2.0  	diff:  落后A0.25 向下A0.375 倒退A0.25 后退A0.0625 退化A0.0625 落伍B1.0
  	class: 地心引力  	d: 5  	pt: 2.0  	diff:  重力A0.5333333333333333 地力A0.4666666666666667 地心引力B1.0
  	class: 心灵  	d: 7  	pt: 2.0  	diff:  心灵A1.0 眼尖B1.0
  	class: 食量  	d: 3  	pt: 2.0  	diff:  饭量A1.0 食量B1.0
  	class: 辅导班  	d: 2  	pt: 2.0  	diff:  补习班A1.0 辅导班B1.0
  	class: 酒席  	d: 7  	pt: 2.0  	diff:  酒席A1.0 宴席B1.0
  	class: 债务  	d: 2  	pt: 2.0  	diff:  债务A1.0 债B1.0
  	class: 辞职  	d: 6  	pt: 2.0  	diff:  辞去A1.0 辞职B1.0
  	class: 真话  	d: 7  	pt: 2.0  	diff:  真话A0.5 心声A0.5 实话B1.0
