learn:ktx.csv check:mm.csv 	 Result: 	0.2287822316668106 	5626 	2222
  	class: 晚景  	d: 6  	pt: 2.0  	diff:  夜色A1.0 夜景B1.0
  	class: 反射  	d: 6  	pt: 2.0  	diff:  反光A1.0 映B1.0
  	class: 意志  	d: 5  	pt: 2.0  	diff:  定性A1.0 意志B0.4 毅力B0.6
  	class: 情致  	d: 7  	pt: 2.0  	diff:  情趣A1.0 趣味B1.0
  	class: 食量  	d: 3  	pt: 2.0  	diff:  饭量A0.5 胃口A0.5 食量B1.0
  	class: 阴魂  	d: 7  	pt: 2.0  	diff:  幽灵A1.0 亡灵B1.0
  	class: 专制  	d: 16  	pt: 2.0  	diff:  专制A1.0 武断B1.0
  	class: 训练班  	d: 2  	pt: 2.0  	diff:  训练班A1.0 培训班B1.0
  	class: 兼职  	d: 7  	pt: 2.0  	diff:  兼A1.0 兼顾B0.5 兼职B0.5
  	class: 会议  	d: 3  	pt: 2.0  	diff:  集会A1.0 会议B1.0
  	class: 酒席  	d: 7  	pt: 2.0  	diff:  酒席A1.0 宴席B1.0
  	class: 法令  	d: 5  	pt: 2.0  	diff:  法案A1.0 法治B0.16666666666666666 法令B0.8333333333333334
  	class: 工资  	d: 3  	pt: 2.0  	diff:  工薪A1.0 薪资B1.0
  	class: 婉转  	d: 13  	pt: 2.0  	diff:  圆润A1.0 委婉B1.0
  	class: 结论  	d: 5  	pt: 2.0  	diff:  结论A0.75 敲定A0.25 定论B1.0
  	class: 宽度  	d: 19  	pt: 2.0  	diff:  宽度A0.16666666666666666 幅度A0.6666666666666666 小幅A0.16666666666666666 开间B1.0
  	class: 承继  	d: 4  	pt: 2.0  	diff:  袭A1.0 传承B1.0
  	class: 细  	d: 11  	pt: 2.0  	diff:  纤细A1.0 细高B1.0
  	class: 雄壮  	d: 29  	pt: 2.0  	diff:  宏伟A0.5 豪迈A0.5 堂堂B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  翻天A1.0 变天B1.0
  	class: 如林  	d: 11  	pt: 2.0  	diff:  不乏A0.75 满腹A0.25 成堆B1.0
