learn:xkd.csv check:xsx.csv 	 Result: 	0.27491142597051604 	6233 	2288
  	class: 脸  	d: 7  	pt: 2.0  	diff:  面孔A0.4 面庞A0.2 人脸A0.4 脸部B1.0
  	class: 颊  	d: 10  	pt: 2.0  	diff:  脸庞A1.0 脸颊B1.0
  	class: 眼球  	d: 5  	pt: 2.0  	diff:  眼球A1.0 眼珠子B1.0
  	class: 唇  	d: 3  	pt: 2.0  	diff:  嘴皮子A1.0 嘴唇B1.0
  	class: 咽喉  	d: 7  	pt: 2.0  	diff:  嗓子A1.0 喉咙B1.0
  	class: 手指  	d: 4  	pt: 2.0  	diff:  指尖A1.0 手指B1.0
  	class: 肠  	d: 4  	pt: 2.0  	diff:  肠A1.0 肠子B1.0
  	class: 汗  	d: 5  	pt: 2.0  	diff:  汗水A1.0 汗液B1.0
  	class: 大厦  	d: 8  	pt: 2.0  	diff:  大厦A1.0 高楼B1.0
  	class: 公堂  	d: 3  	pt: 2.0  	diff:  大会堂A1.0 大堂B1.0
  	class: 门面  	d: 8  	pt: 2.0  	diff:  外衣A1.0 糖衣B1.0
  	class: 桥  	d: 4  	pt: 2.0  	diff:  桥梁A1.0 桥B1.0
  	class: 局限  	d: 4  	pt: 2.0  	diff:  囿于A1.0 局限B1.0
  	class: 界限  	d: 6  	pt: 2.0  	diff:  界A0.8888888888888888 界线A0.1111111111111111 鸿沟B1.0
  	class: 螺钉  	d: 3  	pt: 2.0  	diff:  螺丝A1.0 螺丝钉B1.0
  	class: 中断  	d: 13  	pt: 2.0  	diff:  中止A0.6666666666666666 刹车A0.3333333333333333 停顿B1.0
  	class: 交叉  	d: 7  	pt: 2.0  	diff:  交叉A0.8 接力A0.2 穿插B1.0
  	class: 刃  	d: 7  	pt: 2.0  	diff:  刀刃A1.0 刀锋B1.0
  	class: 模板  	d: 3  	pt: 2.0  	diff:  模板A1.0 模版B1.0
  	class: 帐幕  	d: 9  	pt: 2.0  	diff:  帷幕A1.0 帐篷B1.0
  	class: 旋转  	d: 14  	pt: 2.0  	diff:  筋斗A1.0 转悠B0.5 旋转B0.5
  	class: 钱包  	d: 4  	pt: 2.0  	diff:  腰包A1.0 钱包B1.0
  	class: 剧本  	d: 5  	pt: 2.0  	diff:  剧本A1.0 本子B1.0
  	class: 抄写  	d: 13  	pt: 2.0  	diff:  照抄A0.3333333333333333 抄写A0.6666666666666666 录B1.0
  	class: 纸币  	d: 5  	pt: 2.0  	diff:  钞票A1.0 纸币B1.0
  	class: 照亮  	d: 5  	pt: 2.0  	diff:  烛照A1.0 照亮B1.0
  	class: 链  	d: 3  	pt: 2.0  	diff:  链条A0.6470588235294118 链A0.35294117647058826 链子B1.0
  	class: 一会儿  	d: 20  	pt: 2.0  	diff:  少时A1.0 会儿B1.0
  	class: 睡衣  	d: 2  	pt: 2.0  	diff:  睡袍A1.0 睡衣B1.0
  	class: 衬衣  	d: 2  	pt: 2.0  	diff:  衬衣A1.0 衬衫B1.0
  	class: 下水  	d: 2  	pt: 2.0  	diff:  下行A1.0 下水B1.0
  	class: 出丑  	d: 20  	pt: 2.0  	diff:  下不来A1.0 丢人B1.0
  	class: 向  	d: 12  	pt: 2.0  	diff:  通向A1.0 奔B1.0
  	class: 节省  	d: 7  	pt: 2.0  	diff:  节约A1.0 节B0.5 节省B0.5
  	class: 座位  	d: 6  	pt: 2.0  	diff:  位子A0.5 席位A0.5 座位B1.0
  	class: 天国  	d: 7  	pt: 2.0  	diff:  净土A1.0 天堂B1.0
  	class: 宅基地  	d: 4  	pt: 2.0  	diff:  宅基地A1.0 居住地B1.0
  	class: 险些  	d: 4  	pt: 2.0  	diff:  险A1.0 差点B1.0
  	class: 缝纫  	d: 3  	pt: 2.0  	diff:  缝纫A1.0 缝B1.0
  	class: 变化  	d: 15  	pt: 2.0  	diff:  生成A0.5 变卦A0.5 弯B1.0
  	class: 集镇  	d: 5  	pt: 2.0  	diff:  集镇A1.0 镇子B1.0
  	class: 婚事  	d: 7  	pt: 2.0  	diff:  喜事A1.0 婚姻B0.9696969696969697 婚事B0.030303030303030304
  	class: 奇怪  	d: 30  	pt: 2.0  	diff:  稀奇A0.45454545454545453 离奇A0.18181818181818182 蹊跷A0.09090909090909091 诡异A0.18181818181818182 古怪A0.09090909090909091 奇妙B1.0
  	class: 变故  	d: 5  	pt: 2.0  	diff:  事变A1.0 变故B1.0
  	class: 疑问  	d: 10  	pt: 2.0  	diff:  疑云A0.5 问号A0.5 疑问B1.0
  	class: 归纳  	d: 7  	pt: 2.0  	diff:  归纳A1.0 归结B1.0
  	class: 不和  	d: 6  	pt: 2.0  	diff:  不和A1.0 别扭B1.0
  	class: 惭愧  	d: 15  	pt: 2.0  	diff:  耻A1.0 惭愧B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  考评A1.0 鉴定B1.0
  	class: 反常  	d: 17  	pt: 2.0  	diff:  畸形A1.0 失常B1.0
  	class: 敲诈  	d: 7  	pt: 2.0  	diff:  敲诈A1.0 敲B1.0
  	class: 生命  	d: 4  	pt: 2.0  	diff:  人命A1.0 性命B1.0
  	class: 普通  	d: 18  	pt: 2.0  	diff:  司空见惯A0.5 常备A0.5 家常B1.0
  	class: 中饭  	d: 4  	pt: 2.0  	diff:  午宴A0.2 午餐A0.8 午饭B1.0
