learn:dsjwz.csv check:xkd.csv 	 Result: 	0.24516031849007974 	6239 	2318
  	class: 手纸  	d: 5  	pt: 2.0  	diff:  手纸A1.0 废纸B0.5 卫生纸B0.5
  	class: 剧本  	d: 5  	pt: 2.0  	diff:  脚本A1.0 剧本B1.0
  	class: 亏  	d: 13  	pt: 2.0  	diff:  折A1.0 赔B1.0
  	class: 筹备  	d: 7  	pt: 2.0  	diff:  筹备A0.75 筹A0.25 筹划B1.0
  	class: 照亮  	d: 5  	pt: 2.0  	diff:  照明A1.0 烛照B1.0
  	class: 吗  	d: 10  	pt: 2.0  	diff:  否A1.0 邪B1.0
  	class: 睡衣  	d: 2  	pt: 2.0  	diff:  睡衣A1.0 睡袍B1.0
  	class: 鞋  	d: 6  	pt: 2.0  	diff:  鞋子A1.0 鞋B1.0
  	class: 节约  	d: 29  	pt: 2.0  	diff:  刻苦A1.0 节俭B0.25 勤政B0.25 勤俭B0.25 节衣缩食B0.25
  	class: 座位  	d: 6  	pt: 2.0  	diff:  座位A1.0 位子B0.5 席位B0.5
  	class: 婚事  	d: 7  	pt: 2.0  	diff:  婚姻A1.0 喜事B1.0
  	class: 形势  	d: 8  	pt: 2.0  	diff:  风头A1.0 风声B0.046511627906976744 局势B0.7674418604651163 情势B0.023255813953488372 风云B0.16279069767441862
  	class: 安分  	d: 17  	pt: 2.0  	diff:  老实A1.0 规矩B1.0
  	class: 疑问  	d: 10  	pt: 2.0  	diff:  疑问A1.0 疑云B0.5 问号B0.5
  	class: 荣誉  	d: 3  	pt: 2.0  	diff:  殊荣A1.0 光彩B1.0
  	class: 疾病  	d: 10  	pt: 2.0  	diff:  疾病A1.0 毛病B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  鉴定A1.0 考评B1.0
  	class: 敲诈  	d: 7  	pt: 2.0  	diff:  敲A1.0 敲诈B1.0
  	class: 普通  	d: 18  	pt: 2.0  	diff:  家常A1.0 司空见惯B0.5 常备B0.5
  	class: 中饭  	d: 4  	pt: 2.0  	diff:  午饭A1.0 午宴B0.2 午餐B0.8
  	class: 谣言  	d: 4  	pt: 2.0  	diff:  谣言A1.0 妄言B1.0
  	class: 概要  	d: 6  	pt: 2.0  	diff:  概要A1.0 大校B1.0
  	class: 梦幻  	d: 9  	pt: 2.0  	diff:  梦见A1.0 梦B1.0
  	class: 料理  	d: 6  	pt: 2.0  	diff:  经纪A1.0 理B0.8 操持B0.2
  	class: 情理  	d: 2  	pt: 2.0  	diff:  物理A1.0 情理B1.0
  	class: 厚意  	d: 6  	pt: 2.0  	diff:  深情A1.0 盛情B1.0
  	class: 幻想  	d: 7  	pt: 2.0  	diff:  做梦A1.0 妄想B1.0
  	class: 视力  	d: 3  	pt: 2.0  	diff:  眼神A1.0 目力B1.0
  	class: 剧团  	d: 7  	pt: 2.0  	diff:  剧院A1.0 班子B1.0
  	class: 尺码  	d: 2  	pt: 2.0  	diff:  尺寸A1.0 尺码B1.0
  	class: 轻微  	d: 7  	pt: 2.0  	diff:  细微A1.0 细小B1.0
  	class: 愚笨  	d: 32  	pt: 2.0  	diff:  愚蠢A0.5 懵A0.25 笨拙A0.125 蠢A0.125 傻B1.0
  	class: 竭力  	d: 31  	pt: 2.0  	diff:  力图A1.0 着力B0.5 用力B0.08333333333333333 拼命B0.25 使劲B0.16666666666666666
  	class: 智慧  	d: 4  	pt: 2.0  	diff:  智力A1.0 智商B1.0
  	class: 特长  	d: 12  	pt: 2.0  	diff:  专长A1.0 特长B0.8 看家本领B0.2
  	class: 记忆力  	d: 3  	pt: 2.0  	diff:  记忆力A1.0 记性B1.0
  	class: 感动  	d: 6  	pt: 2.0  	diff:  动容A1.0 感触B1.0
  	class: 心灵  	d: 7  	pt: 2.0  	diff:  心灵A1.0 眼尖B1.0
  	class: 感觉  	d: 3  	pt: 2.0  	diff:  感性A1.0 知觉B1.0
  	class: 爱情  	d: 8  	pt: 2.0  	diff:  情爱A0.16666666666666666 爱情A0.8333333333333334 爱意B1.0
  	class: 忧愁  	d: 17  	pt: 2.0  	diff:  忧伤A1.0 忧B1.0
  	class: 愤怒  	d: 33  	pt: 2.0  	diff:  愤怒A1.0 气愤B0.5 愤慨B0.5
  	class: 恨  	d: 5  	pt: 2.0  	diff:  怨恨A1.0 恨B1.0
  	class: 落空  	d: 11  	pt: 2.0  	diff:  吹A1.0 未遂B0.5 泡汤B0.5
  	class: 属国  	d: 10  	pt: 2.0  	diff:  殖民地A1.0 所在国B0.5 附庸B0.25 债务国B0.25
  	class: 全家  	d: 6  	pt: 2.0  	diff:  一家子A1.0 全家B1.0
  	class: 头衔  	d: 3  	pt: 2.0  	diff:  职称A1.0 头衔B1.0
  	class: 暴行  	d: 4  	pt: 2.0  	diff:  暴行A1.0 横行B1.0
  	class: 教育  	d: 14  	pt: 2.0  	diff:  教导A1.0 教诲B1.0
  	class: 手书  	d: 3  	pt: 2.0  	diff:  亲笔A1.0 亲笔信B1.0
  	class: 克制  	d: 10  	pt: 2.0  	diff:  憋A0.3333333333333333 压抑A0.3333333333333333 按压A0.3333333333333333 克制B1.0
  	class: 辞职  	d: 6  	pt: 2.0  	diff:  辞去A1.0 辞职B1.0
  	class: 忠言  	d: 4  	pt: 2.0  	diff:  真言A1.0 诤言B1.0
  	class: 萧条  	d: 5  	pt: 2.0  	diff:  走低A1.0 清淡B1.0
  	class: 处方  	d: 4  	pt: 2.0  	diff:  处方A1.0 药方B1.0
  	class: 结语  	d: 3  	pt: 2.0  	diff:  结束语A1.0 结语B1.0
  	class: 注释  	d: 5  	pt: 2.0  	diff:  注释A1.0 诠释B1.0
  	class: 文学  	d: 2  	pt: 2.0  	diff:  文学A1.0 文艺B1.0
  	class: 毒瘤  	d: 8  	pt: 2.0  	diff:  癌细胞A1.0 癌B0.6 毒瘤B0.4
  	class: 总店  	d: 5  	pt: 2.0  	diff:  母公司A1.0 总公司B0.0967741935483871 总局B0.7419354838709677 总行B0.16129032258064516
  	class: 折扣  	d: 4  	pt: 2.0  	diff:  折扣A1.0 对折B1.0
  	class: 比率  	d: 2  	pt: 2.0  	diff:  比率A1.0 比值B1.0
  	class: 宽敞  	d: 10  	pt: 2.0  	diff:  宽敞A1.0 宽阔B1.0
  	class: 连绵  	d: 10  	pt: 2.0  	diff:  持续性A1.0 绵延B1.0
  	class: 升降  	d: 9  	pt: 2.0  	diff:  升降A0.5 起降A0.5 沉降B1.0
  	class: 密  	d: 12  	pt: 2.0  	diff:  浓密A0.6 稠密A0.4 密布B1.0
  	class: 直率  	d: 14  	pt: 2.0  	diff:  简捷A0.6666666666666666 露骨A0.3333333333333333 坦承B0.5 直率B0.5
  	class: 沉  	d: 7  	pt: 2.0  	diff:  沉A1.0 下移B0.25 下沉B0.5 沉底B0.25
  	class: 飞驰  	d: 5  	pt: 2.0  	diff:  飞驰A1.0 奔驰B1.0
  	class: 剧变  	d: 7  	pt: 2.0  	diff:  突变A1.0 剧变B1.0
  	class: 冷却  	d: 5  	pt: 2.0  	diff:  冷却A1.0 冷B1.0
  	class: 结冰  	d: 9  	pt: 2.0  	diff:  冻结A1.0 冷冻B0.5 冻B0.5
  	class: 刻薄  	d: 7  	pt: 2.0  	diff:  苛刻A1.0 刻薄B1.0
  	class: 热  	d: 9  	pt: 2.0  	diff:  热力A1.0 热火B1.0
  	class: 新式  	d: 12  	pt: 2.0  	diff:  新颖A1.0 行时B1.0
  	class: 便宜  	d: 10  	pt: 2.0  	diff:  最低价A0.5 低廉A0.375 价廉A0.125 低价B1.0
  	class: 恶劣  	d: 11  	pt: 2.0  	diff:  拙劣A1.0 恶劣B0.7333333333333333 恶性B0.06666666666666667 劣B0.2
  	class: 散发  	d: 3  	pt: 2.0  	diff:  分发A0.6666666666666666 泛A0.3333333333333333 散发B1.0
  	class: 无故  	d: 6  	pt: 2.0  	diff:  凭空A1.0 无端B1.0
  	class: 开玩笑  	d: 11  	pt: 2.0  	diff:  开心A1.0 开玩笑B1.0
  	class: 敌对  	d: 7  	pt: 2.0  	diff:  对抗性A1.0 敌对B1.0
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  摇头A0.3333333333333333 偏移A0.6666666666666666 舞狮B1.0
  	class: 散步  	d: 7  	pt: 2.0  	diff:  走走A1.0 散步B0.5 溜达B0.5
  	class: 纵容  	d: 4  	pt: 2.0  	diff:  惯A1.0 纵容B0.7777777777777778 放纵B0.2222222222222222
  	class: 胜任  	d: 4  	pt: 2.0  	diff:  胜任A1.0 不负B1.0
  	class: 心安  	d: 7  	pt: 2.0  	diff:  宽慰A1.0 安心B0.375 欣慰B0.5 告慰B0.125
  	class: 漂  	d: 8  	pt: 2.0  	diff:  上浮A0.5 漂移A0.5 悬浮B1.0
  	class: 慨叹  	d: 9  	pt: 2.0  	diff:  感叹A1.0 感慨B1.0
  	class: 簇拥  	d: 3  	pt: 2.0  	diff:  拥A1.0 簇拥B1.0
  	class: 仍  	d: 17  	pt: 2.0  	diff:  扔掉A1.0 掷B0.2 甩开B0.4 拽B0.2 甩掉B0.2
  	class: 拍手  	d: 9  	pt: 2.0  	diff:  击掌A1.0 鼓掌B0.8 拍手B0.2
  	class: 嵌  	d: 4  	pt: 2.0  	diff:  嵌A1.0 镶嵌B1.0
  	class: 承  	d: 5  	pt: 2.0  	diff:  承载A1.0 承接B1.0
  	class: 松手  	d: 4  	pt: 2.0  	diff:  放手A1.0 松手B0.5 失手B0.5
  	class: 解  	d: 3  	pt: 2.0  	diff:  解开A1.0 褪B0.5 肢解B0.5
  	class: 吸  	d: 6  	pt: 2.0  	diff:  吸气A1.0 吸烟B0.5714285714285714 吸B0.42857142857142855
  	class: 修理  	d: 7  	pt: 2.0  	diff:  修理A0.6666666666666666 弥合A0.3333333333333333 整修B1.0
  	class: 踏遍  	d: 2  	pt: 2.0  	diff:  走遍A1.0 踏遍B1.0
  	class: 观望  	d: 10  	pt: 2.0  	diff:  观望A1.0 坐视B0.5 旁观B0.5
  	class: 倾听  	d: 7  	pt: 2.0  	diff:  聆A0.9 倾听A0.1 聆听B1.0
  	class: 豪饮  	d: 7  	pt: 2.0  	diff:  畅饮A1.0 饮用B0.3333333333333333 饮水B0.6666666666666666
  	class: 锻炼  	d: 12  	pt: 2.0  	diff:  锻炼A1.0 闯B0.75 磨砺B0.25
  	class: 爆裂  	d: 7  	pt: 2.0  	diff:  爆裂A1.0 爆B0.3333333333333333 崩B0.6666666666666666
  	class: 羡慕  	d: 15  	pt: 2.0  	diff:  艳羡A1.0 羡慕B1.0
  	class: 沉迷  	d: 16  	pt: 2.0  	diff:  痴迷A0.3333333333333333 着迷A0.3333333333333333 迷A0.3333333333333333 沉迷B1.0
  	class: 醒悟  	d: 16  	pt: 2.0  	diff:  觉悟A1.0 觉醒B1.0
  	class: 敬仰  	d: 10  	pt: 2.0  	diff:  心仪A1.0 景仰B1.0
  	class: 领会  	d: 8  	pt: 2.0  	diff:  领悟A1.0 领会B1.0
  	class: 怜悯  	d: 16  	pt: 2.0  	diff:  同情A1.0 怜悯B1.0
  	class: 发动  	d: 8  	pt: 2.0  	diff:  总动员A1.0 动员B0.6470588235294118 鼓动B0.35294117647058826
  	class: 冲击  	d: 4  	pt: 2.0  	diff:  厮杀A1.0 冲锋B1.0
  	class: 邀击  	d: 5  	pt: 2.0  	diff:  截击A1.0 狙击B1.0
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  抢占A1.0 侵占B0.6 强占B0.1 侵吞B0.3
  	class: 打扰  	d: 3  	pt: 2.0  	diff:  打扰A1.0 扰B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤出A1.0 撤离B1.0
  	class: 首创  	d: 3  	pt: 2.0  	diff:  创始A1.0 首创B1.0
  	class: 吹嘘  	d: 4  	pt: 2.0  	diff:  吹嘘A1.0 鼓吹B1.0
  	class: 演奏  	d: 4  	pt: 2.0  	diff:  演奏A1.0 奏B1.0
  	class: 检查  	d: 16  	pt: 2.0  	diff:  验A1.0 查验B0.125 查实B0.5 稽察B0.125 视察B0.125 查查B0.125
  	class: 退还  	d: 6  	pt: 2.0  	diff:  吐出A1.0 退还B1.0
  	class: 接替  	d: 6  	pt: 2.0  	diff:  接替A1.0 接手B0.6 接任B0.2 继任B0.2
  	class: 缝补  	d: 8  	pt: 2.0  	diff:  修补A1.0 缝缝补补B1.0
  	class: 拨款  	d: 2  	pt: 2.0  	diff:  拨款A1.0 拨付B1.0
  	class: 驾车  	d: 3  	pt: 2.0  	diff:  驾车A1.0 驱车B1.0
  	class: 编录  	d: 5  	pt: 2.0  	diff:  摘录A1.0 剪辑B1.0
  	class: 驱逐  	d: 6  	pt: 2.0  	diff:  赶走A1.0 驱逐B1.0
  	class: 邮寄  	d: 5  	pt: 2.0  	diff:  邮A1.0 邮寄B1.0
  	class: 露面  	d: 5  	pt: 2.0  	diff:  露面A1.0 露头B0.5 冒头B0.5
  	class: 求助  	d: 6  	pt: 2.0  	diff:  求援A0.3333333333333333 求助A0.6666666666666666 求救B1.0
  	class: 面交  	d: 6  	pt: 2.0  	diff:  递A0.5 递给A0.5 递交B1.0
  	class: 接洽  	d: 6  	pt: 2.0  	diff:  接洽A1.0 洽谈B1.0
  	class: 生事  	d: 32  	pt: 2.0  	diff:  作恶A1.0 惹事B0.3333333333333333 扰民B0.16666666666666666 闹事B0.16666666666666666 滋事B0.16666666666666666 肇事B0.16666666666666666
  	class: 谋事  	d: 6  	pt: 2.0  	diff:  求职A1.0 找事B1.0
  	class: 搜查  	d: 4  	pt: 2.0  	diff:  搜A1.0 查抄B1.0
  	class: 储存  	d: 8  	pt: 2.0  	diff:  储存A1.0 收储B1.0
  	class: 开市  	d: 6  	pt: 2.0  	diff:  开业A0.3333333333333333 开篇A0.6666666666666666 开市B1.0
  	class: 篡改  	d: 3  	pt: 2.0  	diff:  篡改A1.0 曲解B1.0
  	class: 颠倒  	d: 10  	pt: 2.0  	diff:  颠倒A1.0 舍本逐末B1.0
  	class: 拿获  	d: 8  	pt: 2.0  	diff:  捕获A1.0 抓获B1.0
  	class: 复审  	d: 2  	pt: 2.0  	diff:  复审A1.0 再审B1.0
  	class: 剥夺  	d: 3  	pt: 2.0  	diff:  禁用A1.0 剥夺B1.0
  	class: 泄漏  	d: 8  	pt: 2.0  	diff:  泄露A1.0 透漏B1.0
  	class: 下雪  	d: 3  	pt: 2.0  	diff:  下雪A1.0 降雪B1.0
  	class: 质变  	d: 3  	pt: 2.0  	diff:  质变A1.0 蜕变B0.8181818181818182 变质B0.18181818181818182
  	class: 沉睡  	d: 7  	pt: 2.0  	diff:  熟睡A1.0 沉睡B1.0
  	class: 寄放  	d: 4  	pt: 2.0  	diff:  存放A1.0 寄存B1.0
  	class: 挽回  	d: 4  	pt: 2.0  	diff:  扭转A1.0 挽回B1.0
  	class: 腾空  	d: 7  	pt: 2.0  	diff:  飙升A1.0 抬高B0.5 攀升B0.5
  	class: 被捕  	d: 3  	pt: 2.0  	diff:  被捕A1.0 落网B1.0
  	class: 起飞  	d: 2  	pt: 2.0  	diff:  起飞A1.0 起航B1.0
  	class: 减半  	d: 3  	pt: 2.0  	diff:  减半A1.0 扣除B1.0
  	class: 跃升  	d: 2  	pt: 2.0  	diff:  跃升A1.0 跃居B1.0
  	class: 算  	d: 5  	pt: 2.0  	diff:  算作A1.0 不失为B0.25 当成B0.75
  	class: 显见  	d: 5  	pt: 2.0  	diff:  看得出A1.0 足见B1.0
  	class: 供求  	d: 2  	pt: 2.0  	diff:  供需A1.0 供求B1.0
  	class: 戒除  	d: 3  	pt: 2.0  	diff:  改掉A1.0 力戒B1.0
  	class: 免得  	d: 5  	pt: 2.0  	diff:  免受A1.0 免得B0.5 免于B0.5
  	class: 审判员  	d: 11  	pt: 1.9999999999999998  	diff:  司法员A0.14285714285714285 法官A0.8571428571428571 执法者B0.6666666666666666 大法官B0.3333333333333333
  	class: 烈士  	d: 4  	pt: 1.9999999999999998  	diff:  先烈A1.0 烈士B0.6666666666666666 英烈B0.3333333333333333
  	class: 无能  	d: 13  	pt: 1.9999999999999998  	diff:  平庸A1.0 无能B0.6666666666666666 经营不善B0.3333333333333333
  	class: 喷  	d: 15  	pt: 1.9999999999999998  	diff:  喷气A0.5 喷发A0.5 迸发B0.6666666666666666 喷B0.3333333333333333
  	class: 血案  	d: 5  	pt: 1.9999999999999998  	diff:  凶杀案A1.0 血案B0.09090909090909091 杀人案B0.09090909090909091 命案B0.7272727272727273 谋杀案B0.09090909090909091
  	class: 监狱  	d: 18  	pt: 1.9999999999999998  	diff:  看守所A1.0 监狱B0.6666666666666666 牢狱B0.3333333333333333
  	class: 鄙视  	d: 24  	pt: 1.9999999999999998  	diff:  小看A1.0 藐视B0.14285714285714285 瞧不起B0.14285714285714285 蔑视B0.14285714285714285 唾弃B0.14285714285714285 小觑B0.42857142857142855
