learn:dsjwz.csv check:ktx.csv 	 Result: 	0.2527324815052981 	6328 	2287
  	class: 境况  	d: 5  	pt: 2.0  	diff:  境遇A1.0 手头B0.5 境况B0.5
  	class: 边疆  	d: 7  	pt: 2.0  	diff:  边境A1.0 国门B1.0
  	class: 领土  	d: 12  	pt: 2.0  	diff:  疆土A0.3333333333333333 国土A0.6666666666666666 版图B1.0
  	class: 村庄  	d: 9  	pt: 2.0  	diff:  村庄A1.0 村B1.0
  	class: 功劳  	d: 5  	pt: 2.0  	diff:  功劳A1.0 功德B1.0
  	class: 深奥  	d: 12  	pt: 2.0  	diff:  艰深A1.0 深邃B1.0
  	class: 隐瞒  	d: 5  	pt: 2.0  	diff:  隐瞒A1.0 隐秘B0.75 瞒B0.25
  	class: 曲  	d: 10  	pt: 2.0  	diff:  乐曲A0.5 弯曲A0.5 曲子B1.0
  	class: 抢劫  	d: 20  	pt: 2.0  	diff:  抢劫A0.2 抢走A0.6 抢夺A0.2 劫B0.3333333333333333 争抢B0.6666666666666666
  	class: 灾害  	d: 4  	pt: 2.0  	diff:  灾A1.0 灾害B1.0
  	class: 道德  	d: 5  	pt: 2.0  	diff:  道义A1.0 德性B1.0
  	class: 荣誉  	d: 3  	pt: 2.0  	diff:  殊荣A1.0 光彩B1.0
  	class: 上下  	d: 4  	pt: 2.0  	diff:  优劣A0.2727272727272727 好坏A0.7272727272727273 天壤B1.0
  	class: 普通  	d: 18  	pt: 2.0  	diff:  家常A1.0 司空见惯B1.0
  	class: 谣言  	d: 4  	pt: 2.0  	diff:  谣言A1.0 谣B1.0
  	class: 兴致  	d: 9  	pt: 2.0  	diff:  来头A1.0 劲头B1.0
  	class: 用处  	d: 3  	pt: 2.0  	diff:  用处A0.1724137931034483 用途A0.8275862068965517 用场B1.0
  	class: 反射  	d: 6  	pt: 2.0  	diff:  映A1.0 反光B1.0
  	class: 气概  	d: 3  	pt: 2.0  	diff:  士气A1.0 气概B1.0
  	class: 通篇  	d: 4  	pt: 2.0  	diff:  全文A1.0 通篇B1.0
  	class: 力气  	d: 4  	pt: 2.0  	diff:  马力A1.0 力气B1.0
  	class: 改名  	d: 6  	pt: 2.0  	diff:  更名A1.0 化名B1.0
  	class: 外号  	d: 4  	pt: 2.0  	diff:  绰号A1.0 外号B1.0
  	class: 智慧  	d: 4  	pt: 2.0  	diff:  智力A1.0 智商B1.0
  	class: 特长  	d: 12  	pt: 2.0  	diff:  专长A1.0 特长B0.25 绝技B0.75
  	class: 感动  	d: 6  	pt: 2.0  	diff:  动容A1.0 感触B1.0
  	class: 恨  	d: 5  	pt: 2.0  	diff:  怨恨A1.0 恨B1.0
  	class: 情致  	d: 7  	pt: 2.0  	diff:  趣味A1.0 情趣B1.0
  	class: 属国  	d: 10  	pt: 2.0  	diff:  殖民地A1.0 附庸B1.0
  	class: 全家  	d: 6  	pt: 2.0  	diff:  一家子A1.0 全家B0.5 全家人B0.5
  	class: 训练班  	d: 2  	pt: 2.0  	diff:  培训班A1.0 训练班B1.0
  	class: 头衔  	d: 3  	pt: 2.0  	diff:  职称A1.0 头衔B1.0
  	class: 暴行  	d: 4  	pt: 2.0  	diff:  暴行A1.0 横行B1.0
  	class: 会议  	d: 3  	pt: 2.0  	diff:  会议A0.987012987012987 议会A0.012987012987012988 集会B1.0
  	class: 订约  	d: 11  	pt: 2.0  	diff:  协定A0.6666666666666666 签订A0.3333333333333333 缔结B0.25 订B0.75
  	class: 工资  	d: 3  	pt: 2.0  	diff:  薪资A1.0 工薪B1.0
  	class: 储蓄  	d: 6  	pt: 2.0  	diff:  储蓄A1.0 攒B0.8571428571428571 存款B0.14285714285714285
  	class: 考题  	d: 4  	pt: 2.0  	diff:  课题A1.0 考题B1.0
  	class: 婉转  	d: 13  	pt: 2.0  	diff:  委婉A1.0 圆润B1.0
  	class: 好话  	d: 3  	pt: 2.0  	diff:  好话A1.0 感言B1.0
  	class: 处方  	d: 4  	pt: 2.0  	diff:  处方A1.0 方子B1.0
  	class: 结语  	d: 3  	pt: 2.0  	diff:  结束语A1.0 煞笔B1.0
  	class: 注释  	d: 5  	pt: 2.0  	diff:  注释A1.0 诠释B1.0
  	class: 瘫痪  	d: 8  	pt: 2.0  	diff:  瘫痪A1.0 瘫B1.0
  	class: 毒瘤  	d: 8  	pt: 2.0  	diff:  癌细胞A1.0 癌B1.0
  	class: 监狱  	d: 18  	pt: 2.0  	diff:  看守所A1.0 铁栏杆B0.5 监狱B0.5
  	class: 总店  	d: 5  	pt: 2.0  	diff:  母公司A1.0 总局B1.0
  	class: 倍数  	d: 4  	pt: 2.0  	diff:  倍数A0.14285714285714285 翻番A0.8571428571428571 倍儿B1.0
  	class: 叠  	d: 5  	pt: 2.0  	diff:  折叠A1.0 叠B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  颠覆A0.8 变天A0.2 翻天B1.0
  	class: 安静  	d: 35  	pt: 2.0  	diff:  沉寂A1.0 静B0.2 寂静B0.4 沉静B0.2 清净B0.2
  	class: 繁多  	d: 17  	pt: 2.0  	diff:  什锦A0.5 形形色色A0.5 繁多B1.0
  	class: 健康  	d: 27  	pt: 2.0  	diff:  强健A1.0 强壮B0.8 健硕B0.2
  	class: 晦涩  	d: 7  	pt: 2.0  	diff:  晦涩A0.75 艰涩A0.25 涩B0.5 拗口B0.5
  	class: 绚丽  	d: 19  	pt: 2.0  	diff:  灿烂A1.0 灿B1.0
  	class: 飞驰  	d: 5  	pt: 2.0  	diff:  飞驰A1.0 疾驰B1.0
  	class: 剧变  	d: 7  	pt: 2.0  	diff:  突变A1.0 骤变B1.0
  	class: 缓  	d: 7  	pt: 2.0  	diff:  休息A1.0 复苏B1.0
  	class: 冷却  	d: 5  	pt: 2.0  	diff:  冷却A1.0 冷B0.7727272727272727 凉B0.18181818181818182 制冷B0.045454545454545456
  	class: 结冰  	d: 9  	pt: 2.0  	diff:  冻结A1.0 冰冻B0.5 结冰B0.25 冻B0.25
  	class: 鲜艳  	d: 12  	pt: 2.0  	diff:  花哨A0.3333333333333333 鲜艳A0.6666666666666666 明艳B0.5 美艳B0.5
  	class: 溺爱  	d: 9  	pt: 2.0  	diff:  偏爱A1.0 宠B0.5 宠坏B0.125 娇B0.25 宠爱B0.125
  	class: 衰落  	d: 23  	pt: 2.0  	diff:  萎缩A1.0 凋零B0.1111111111111111 衰落B0.5555555555555556 衰老B0.2222222222222222 衰退B0.1111111111111111
  	class: 削弱  	d: 7  	pt: 2.0  	diff:  减弱A0.5 削弱A0.5 减B1.0
  	class: 紫  	d: 3  	pt: 2.0  	diff:  紫色A1.0 紫B1.0
  	class: 假想  	d: 5  	pt: 2.0  	diff:  假想A1.0 幻B1.0
  	class: 便宜  	d: 10  	pt: 2.0  	diff:  最低价A0.5 低廉A0.375 价廉A0.125 贱B1.0
  	class: 不凡  	d: 16  	pt: 2.0  	diff:  超导A1.0 别致B1.0
