learn:mm.csv check:xsx.csv 	 Result: 	0.23533789215156914 	4704 	2070
  	class: 途径  	d: 10  	pt: 2.0  	diff:  路子A1.0 途径B0.2222222222222222 路径B0.4444444444444444 路线B0.3333333333333333
  	class: 比作  	d: 6  	pt: 2.0  	diff:  好比A1.0 比喻B1.0
  	class: 抢劫  	d: 20  	pt: 2.0  	diff:  夺走A1.0 抢走B0.3333333333333333 抢劫B0.6666666666666666
  	class: 惭愧  	d: 15  	pt: 2.0  	diff:  羞愧A1.0 惭愧B1.0
  	class: 完成  	d: 18  	pt: 2.0  	diff:  交卷A0.5 到位A0.5 成就B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  评定A1.0 鉴定B1.0
  	class: 反常  	d: 17  	pt: 2.0  	diff:  不规则A1.0 失常B1.0
  	class: 赞成  	d: 4  	pt: 2.0  	diff:  赞同A1.0 倾向B1.0
  	class: 兴致  	d: 9  	pt: 2.0  	diff:  来头A1.0 劲头B1.0
  	class: 缘分  	d: 5  	pt: 2.0  	diff:  姻缘A1.0 缘分B1.0
  	class: 花头  	d: 5  	pt: 2.0  	diff:  花样A1.0 花头B1.0
  	class: 退步  	d: 13  	pt: 2.0  	diff:  落伍A1.0 退步B0.6 落后B0.4
  	class: 布局  	d: 2  	pt: 2.0  	diff:  格局A1.0 布局B1.0
  	class: 剧团  	d: 7  	pt: 2.0  	diff:  剧院A1.0 剧团B1.0
  	class: 姓名  	d: 5  	pt: 2.0  	diff:  姓名A1.0 真名B1.0
  	class: 食量  	d: 3  	pt: 2.0  	diff:  食量A1.0 胃口B1.0
  	class: 酒席  	d: 7  	pt: 2.0  	diff:  宴席A1.0 酒席B1.0
  	class: 牛皮  	d: 5  	pt: 2.0  	diff:  高调A1.0 漂亮话B1.0
  	class: 结论  	d: 5  	pt: 2.0  	diff:  定论A1.0 结论B1.0
  	class: 注释  	d: 5  	pt: 2.0  	diff:  诠释A1.0 注释B1.0
  	class: 写实  	d: 2  	pt: 2.0  	diff:  写实A1.0 写真B1.0
  	class: 公安局  	d: 10  	pt: 2.0  	diff:  派出所A1.0 公安部B0.3333333333333333 警方B0.6666666666666666
  	class: 大  	d: 12  	pt: 2.0  	diff:  硕大A1.0 硕B0.6 庞大B0.4
  	class: 总数  	d: 3  	pt: 2.0  	diff:  总和A1.0 总额B1.0
  	class: 出头  	d: 10  	pt: 2.0  	diff:  起色A1.0 出头B1.0
  	class: 一眨眼  	d: 39  	pt: 2.0  	diff:  转眼A1.0 转手B0.3333333333333333 一晃B0.6666666666666666
  	class: 细  	d: 11  	pt: 2.0  	diff:  细高A1.0 细细B1.0
  	class: 宽大  	d: 12  	pt: 2.0  	diff:  宽松A1.0 宽大B1.0
  	class: 揪  	d: 2  	pt: 2.0  	diff:  揪A1.0 掀开B1.0
  	class: 继续  	d: 16  	pt: 2.0  	diff:  继承A1.0 延续B1.0
  	class: 不利  	d: 13  	pt: 2.0  	diff:  不利A1.0 坎坷B1.0
