learn:ktx.csv check:xsx.csv 	 Result: 	0.22422808285257675 	6503 	2555
  	class: 出丑  	d: 20  	pt: 2.0  	diff:  出丑A0.4 丢脸A0.6 丢人B1.0
  	class: 凋敝  	d: 10  	pt: 2.0  	diff:  淡A1.0 不景气B1.0
  	class: 天国  	d: 7  	pt: 2.0  	diff:  净土A1.0 天堂B1.0
  	class: 外国  	d: 6  	pt: 2.0  	diff:  异域A1.0 异国B1.0
  	class: 危险  	d: 37  	pt: 2.0  	diff:  险恶A0.5 高危A0.5 危急B1.0
  	class: 动荡  	d: 26  	pt: 2.0  	diff:  骚动A0.6666666666666666 荒乱A0.3333333333333333 动荡B1.0
  	class: 抢劫  	d: 20  	pt: 2.0  	diff:  劫A0.3333333333333333 争抢A0.6666666666666666 抢走B0.3333333333333333 抢劫B0.6666666666666666
  	class: 惭愧  	d: 15  	pt: 2.0  	diff:  耻A0.3333333333333333 羞愧A0.3333333333333333 汗颜A0.3333333333333333 惭愧B1.0
  	class: 上下  	d: 4  	pt: 2.0  	diff:  天壤A1.0 好坏B1.0
  	class: 反常  	d: 17  	pt: 2.0  	diff:  畸形A1.0 失常B1.0
  	class: 普通  	d: 18  	pt: 2.0  	diff:  司空见惯A1.0 家常B1.0
  	class: 端详  	d: 7  	pt: 2.0  	diff:  审视A1.0 端详B1.0
  	class: 晚景  	d: 6  	pt: 2.0  	diff:  夜色A1.0 夜景B1.0
  	class: 用处  	d: 3  	pt: 2.0  	diff:  用场A1.0 用处B1.0
  	class: 反射  	d: 6  	pt: 2.0  	diff:  反光A1.0 映B0.5 反射B0.5
  	class: 过问  	d: 3  	pt: 2.0  	diff:  干涉A1.0 干预B1.0
  	class: 花头  	d: 5  	pt: 2.0  	diff:  花样A1.0 花头B1.0
  	class: 润泽  	d: 4  	pt: 2.0  	diff:  润滑A0.5 润泽A0.5 滋润B1.0
  	class: 姓名  	d: 5  	pt: 2.0  	diff:  姓名A0.75 人名A0.25 真名B1.0
  	class: 品行  	d: 7  	pt: 2.0  	diff:  品德A0.6 情操A0.4 操行B1.0
