learn:jqzx.csv check:xkd.csv 	 Result: 	0.2487583258994408 	6133 	2237
  	class: 饭店  	d: 10  	pt: 2.0  	diff:  餐馆A1.0 食堂B0.4 饭店B0.6
  	class: 集市  	d: 9  	pt: 2.0  	diff:  场A1.0 庙B0.25 市集B0.25 集市B0.25 庙会B0.25
  	class: 耕作  	d: 4  	pt: 2.0  	diff:  耕种A1.0 耕地B1.0
  	class: 局限  	d: 4  	pt: 2.0  	diff:  局限A1.0 囿于B1.0
  	class: 轿车  	d: 4  	pt: 2.0  	diff:  轿车A1.0 小汽车B1.0
  	class: 赛车  	d: 2  	pt: 2.0  	diff:  赛车A1.0 跑车B1.0
  	class: 军舰  	d: 10  	pt: 2.0  	diff:  战舰A1.0 舰B0.07692307692307693 军舰B0.7692307692307693 舰船B0.15384615384615385
  	class: 色子  	d: 2  	pt: 2.0  	diff:  骰子A1.0 色子B1.0
  	class: 旋转  	d: 14  	pt: 2.0  	diff:  旋转A0.975 盘A0.025 筋斗B1.0
  	class: 钱包  	d: 4  	pt: 2.0  	diff:  钱包A1.0 腰包B1.0
  	class: 亏  	d: 13  	pt: 2.0  	diff:  折A1.0 赔B1.0
  	class: 发票  	d: 2  	pt: 2.0  	diff:  发单A1.0 发票B1.0
  	class: 号码  	d: 3  	pt: 2.0  	diff:  编号A1.0 号码B1.0
  	class: 照亮  	d: 5  	pt: 2.0  	diff:  照明A1.0 烛照B1.0
  	class: 档案  	d: 2  	pt: 2.0  	diff:  档案A1.0 档B1.0
  	class: 饭  	d: 5  	pt: 2.0  	diff:  米饭A1.0 饭B1.0
  	class: 节约  	d: 29  	pt: 2.0  	diff:  节能A1.0 节俭B0.25 勤政B0.25 勤俭B0.25 节衣缩食B0.25
  	class: 生活  	d: 12  	pt: 2.0  	diff:  光阴A0.5 过日子A0.5 日子B1.0
  	class: 阵  	d: 4  	pt: 2.0  	diff:  阵A1.0 阵子B1.0
  	class: 座位  	d: 6  	pt: 2.0  	diff:  座位A1.0 位子B0.5 席位B0.5
  	class: 高位  	d: 4  	pt: 2.0  	diff:  要职A1.0 高位B1.0
  	class: 宅基地  	d: 4  	pt: 2.0  	diff:  居住地A1.0 宅基地B1.0
  	class: 自动  	d: 9  	pt: 2.0  	diff:  电动A1.0 机关B1.0
  	class: 安分  	d: 17  	pt: 2.0  	diff:  老实A1.0 规矩B1.0
  	class: 疾病  	d: 10  	pt: 2.0  	diff:  疾病A0.9848484848484849 病症A0.015151515151515152 毛病B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  评议A0.6666666666666666 鉴定A0.16666666666666666 评定A0.16666666666666666 考评B1.0
  	class: 反常  	d: 17  	pt: 2.0  	diff:  不规则A1.0 畸形B1.0
  	class: 谣言  	d: 4  	pt: 2.0  	diff:  谣言A1.0 妄言B1.0
  	class: 概要  	d: 6  	pt: 2.0  	diff:  概要A1.0 大校B1.0
  	class: 梦幻  	d: 9  	pt: 2.0  	diff:  梦境A1.0 梦B1.0
  	class: 归于  	d: 8  	pt: 2.0  	diff:  归入A0.5 归属A0.5 直辖B0.25 归于B0.5 名下B0.25
  	class: 笑柄  	d: 3  	pt: 2.0  	diff:  笑谈A1.0 笑柄B1.0
  	class: 情理  	d: 2  	pt: 2.0  	diff:  物理A1.0 情理B1.0
  	class: 主意  	d: 4  	pt: 2.0  	diff:  主意A1.0 呼声B0.6 主心骨B0.4
  	class: 体形  	d: 4  	pt: 2.0  	diff:  体态A1.0 身段B1.0
  	class: 幻境  	d: 5  	pt: 2.0  	diff:  幻境A1.0 幻像B1.0
  	class: 幻想  	d: 7  	pt: 2.0  	diff:  理想化A1.0 妄想B1.0
  	class: 指导性  	d: 2  	pt: 2.0  	diff:  指导性A1.0 指令性B1.0
  	class: 辖区  	d: 2  	pt: 2.0  	diff:  管区A1.0 辖区B1.0
  	class: 尺码  	d: 2  	pt: 2.0  	diff:  尺寸A1.0 尺码B1.0
  	class: 能够  	d: 5  	pt: 2.0  	diff:  可知A1.0 亦可B1.0
  	class: 外号  	d: 4  	pt: 2.0  	diff:  外号A1.0 绰号B1.0
  	class: 智慧  	d: 4  	pt: 2.0  	diff:  智力A1.0 智商B1.0
  	class: 忧愁  	d: 17  	pt: 2.0  	diff:  忧伤A1.0 忧B1.0
  	class: 稿件  	d: 2  	pt: 2.0  	diff:  稿子A1.0 稿件B1.0
  	class: 臆断  	d: 4  	pt: 2.0  	diff:  臆想A1.0 臆测B1.0
  	class: 落空  	d: 11  	pt: 2.0  	diff:  吹A1.0 未遂B0.5 泡汤B0.5
  	class: 盟国  	d: 6  	pt: 2.0  	diff:  盟军A1.0 盟友B0.9047619047619048 盟国B0.09523809523809523
  	class: 订约  	d: 11  	pt: 2.0  	diff:  订A1.0 协定B0.4782608695652174 缔结B0.043478260869565216 签订B0.30434782608695654 商定B0.17391304347826086
  	class: 克制  	d: 10  	pt: 2.0  	diff:  按压A1.0 克制B1.0
  	class: 特辑  	d: 6  	pt: 2.0  	diff:  专栏A0.9090909090909091 专刊A0.09090909090909091 专辑B1.0
  	class: 注释  	d: 5  	pt: 2.0  	diff:  注释A0.9649122807017544 注解A0.03508771929824561 诠释B1.0
  	class: 文学  	d: 2  	pt: 2.0  	diff:  文学A1.0 文艺B1.0
  	class: 跳舞  	d: 8  	pt: 2.0  	diff:  舞蹈A1.0 舞B1.0
  	class: 总店  	d: 5  	pt: 2.0  	diff:  母公司A1.0 总公司B0.0967741935483871 总局B0.7419354838709677 总行B0.16129032258064516
  	class: 电影院  	d: 5  	pt: 2.0  	diff:  影院A1.0 电影院B1.0
  	class: 拾  	d: 6  	pt: 2.0  	diff:  拾A1.0 捡B1.0
  	class: 折扣  	d: 4  	pt: 2.0  	diff:  折扣A1.0 对折B1.0
  	class: 谄媚  	d: 32  	pt: 2.0  	diff:  吹捧A1.0 讨好B0.16666666666666666 捧B0.5 谄谀B0.16666666666666666 买好B0.16666666666666666
  	class: 弱小  	d: 15  	pt: 2.0  	diff:  微弱A1.0 虚弱B1.0
  	class: 连绵  	d: 10  	pt: 2.0  	diff:  持续性A1.0 绵延B1.0
  	class: 升降  	d: 9  	pt: 2.0  	diff:  起伏A0.75 升降A0.25 沉降B1.0
  	class: 繁多  	d: 17  	pt: 2.0  	diff:  繁多A1.0 繁B0.5 形形色色B0.5
  	class: 密  	d: 12  	pt: 2.0  	diff:  稠密A1.0 密布B1.0
  	class: 不断  	d: 34  	pt: 2.0  	diff:  穿梭A0.6666666666666666 源源A0.3333333333333333 连发B0.4 不息B0.2 不住B0.4
  	class: 直率  	d: 14  	pt: 2.0  	diff:  简捷A0.5 脆A0.5 坦承B0.5 直率B0.5
  	class: 不适  	d: 7  	pt: 2.0  	diff:  不适A1.0 难受B0.7142857142857143 难过B0.14285714285714285 不爽B0.14285714285714285
  	class: 结冰  	d: 9  	pt: 2.0  	diff:  冻结A1.0 冷冻B0.5 冻B0.5
  	class: 刻薄  	d: 7  	pt: 2.0  	diff:  苛刻A1.0 刻薄B1.0
  	class: 新式  	d: 12  	pt: 2.0  	diff:  新颖A0.9523809523809523 新式A0.047619047619047616 行时B1.0
