learn:gkw.csv check:xsx.csv 	 Result: 	0.23860275317622354 	7431 	2775
  	class: 汗  	d: 5  	pt: 2.0  	diff:  汗A0.9523809523809523 汗水A0.047619047619047616 汗液B1.0
  	class: 发誓  	d: 9  	pt: 2.0  	diff:  誓死A0.16666666666666666 发誓A0.8333333333333334 宣誓B1.0
  	class: 他山石  	d: 4  	pt: 2.0  	diff:  山石A1.0 它山之石B1.0
  	class: 盖  	d: 6  	pt: 2.0  	diff:  瓦A1.0 捂B0.75 捂住B0.25
  	class: 打猎  	d: 13  	pt: 2.0  	diff:  捕猎A0.64 狩猎A0.24 打猎A0.12 田B1.0
  	class: 坟墓  	d: 10  	pt: 2.0  	diff:  墓A1.0 坟B1.0
  	class: 拖拉机  	d: 2  	pt: 2.0  	diff:  铁牛A1.0 拖拉机B1.0
  	class: 螺钉  	d: 3  	pt: 2.0  	diff:  螺钉A1.0 螺丝钉B1.0
  	class: 中断  	d: 13  	pt: 2.0  	diff:  中止A0.08333333333333333 刹车A0.8333333333333334 间歇A0.08333333333333333 停顿B1.0
  	class: 交叉  	d: 7  	pt: 2.0  	diff:  交叉A0.6 接力A0.2 交加A0.2 穿插B1.0
  	class: 刃  	d: 7  	pt: 2.0  	diff:  刀刃A1.0 刀锋B1.0
  	class: 电灯泡  	d: 3  	pt: 2.0  	diff:  灯泡A1.0 电灯泡B1.0
  	class: 琐碎  	d: 11  	pt: 2.0  	diff:  零星A1.0 琐碎B1.0
  	class: 拷贝  	d: 2  	pt: 2.0  	diff:  拷贝A1.0 正片B1.0
  	class: 手纸  	d: 5  	pt: 2.0  	diff:  手纸A1.0 卫生纸B1.0
  	class: 抄写  	d: 13  	pt: 2.0  	diff:  照抄A1.0 录B1.0
  	class: 纸币  	d: 5  	pt: 2.0  	diff:  钞票A1.0 纸币B1.0
  	class: 号码  	d: 3  	pt: 2.0  	diff:  编号A1.0 号码B1.0
  	class: 幌子  	d: 3  	pt: 2.0  	diff:  幌子A1.0 旗号B1.0
  	class: 背心  	d: 3  	pt: 2.0  	diff:  坎肩A1.0 背心B1.0
  	class: 领子  	d: 3  	pt: 2.0  	diff:  衣领A1.0 领子B1.0
  	class: 跑鞋  	d: 4  	pt: 2.0  	diff:  球鞋A1.0 运动鞋B1.0
  	class: 荤菜  	d: 4  	pt: 2.0  	diff:  荤菜A1.0 大鱼B1.0
  	class: 烧饼  	d: 3  	pt: 2.0  	diff:  火烧A1.0 大饼B0.3333333333333333 烧饼B0.6666666666666666
  	class: 美酒  	d: 8  	pt: 2.0  	diff:  美酒A1.0 名酒B1.0
  	class: 膏  	d: 2  	pt: 2.0  	diff:  药膏A1.0 膏药B1.0
  	class: 出丑  	d: 20  	pt: 2.0  	diff:  出洋相A0.2 丢脸A0.6 下不来A0.2 丢人B1.0
  	class: 向  	d: 12  	pt: 2.0  	diff:  朝向A0.7857142857142857 通向A0.21428571428571427 奔B1.0
  	class: 阵  	d: 4  	pt: 2.0  	diff:  阵A1.0 阵子B1.0
  	class: 关头  	d: 8  	pt: 2.0  	diff:  契机A1.0 转折点B1.0
  	class: 仙逝  	d: 12  	pt: 2.0  	diff:  病逝A1.0 病故B1.0
  	class: 凋敝  	d: 10  	pt: 2.0  	diff:  衰竭A0.26666666666666666 淡A0.7333333333333333 不景气B1.0
  	class: 座位  	d: 6  	pt: 2.0  	diff:  席位A0.7142857142857143 坐位A0.2857142857142857 座位B1.0
  	class: 边疆  	d: 7  	pt: 2.0  	diff:  国境A0.4 边境A0.6 国门B1.0
  	class: 内地  	d: 2  	pt: 2.0  	diff:  腹地A1.0 内地B1.0
  	class: 交界  	d: 6  	pt: 2.0  	diff:  交界A1.0 毗邻B0.5 接壤B0.5
  	class: 航路  	d: 4  	pt: 2.0  	diff:  航程A1.0 航线B1.0
  	class: 旱  	d: 10  	pt: 2.0  	diff:  久旱A1.0 旱B1.0
  	class: 上当  	d: 6  	pt: 2.0  	diff:  受骗A1.0 上当B0.5 上钩B0.5
  	class: 惭愧  	d: 15  	pt: 2.0  	diff:  羞愧A1.0 惭愧B1.0
  	class: 西餐  	d: 2  	pt: 2.0  	diff:  大菜A1.0 西餐B1.0
  	class: 端详  	d: 7  	pt: 2.0  	diff:  审视A0.8888888888888888 细看A0.1111111111111111 端详B1.0
  	class: 意境  	d: 2  	pt: 2.0  	diff:  意象A1.0 意境B1.0
  	class: 笑柄  	d: 3  	pt: 2.0  	diff:  笑料A1.0 笑谈B1.0
  	class: 主意  	d: 4  	pt: 2.0  	diff:  呼声A0.3333333333333333 主意A0.6666666666666666 主心骨B1.0
  	class: 花头  	d: 5  	pt: 2.0  	diff:  花样A1.0 花头B1.0
  	class: 地心引力  	d: 5  	pt: 2.0  	diff:  重力A0.5333333333333333 地力A0.4666666666666667 地心引力B1.0
  	class: 姓名  	d: 5  	pt: 2.0  	diff:  姓名A1.0 真名B1.0
  	class: 改名  	d: 6  	pt: 2.0  	diff:  更名A0.5714285714285714 改名A0.42857142857142855 化名B1.0
  	class: 品行  	d: 7  	pt: 2.0  	diff:  操守A1.0 操行B1.0
  	class: 气量  	d: 6  	pt: 2.0  	diff:  气量A1.0 肚量B1.0
  	class: 理想  	d: 17  	pt: 2.0  	diff:  抱负A1.0 壮志B0.5 志向B0.5
  	class: 计策  	d: 13  	pt: 2.0  	diff:  对策A1.0 预谋B1.0
  	class: 隐居  	d: 6  	pt: 2.0  	diff:  隐A1.0 隐居B1.0
  	class: 恶毒  	d: 27  	pt: 2.0  	diff:  恶毒A1.0 黑心B1.0
  	class: 尊敬  	d: 11  	pt: 2.0  	diff:  尊敬A0.5 尊崇A0.5 崇敬B0.3333333333333333 敬B0.6666666666666666
  	class: 春情  	d: 6  	pt: 2.0  	diff:  春意A1.0 春心B1.0
  	class: 食量  	d: 3  	pt: 2.0  	diff:  饭量A1.0 胃口B1.0
  	class: 毒害  	d: 5  	pt: 2.0  	diff:  毒害A0.7272727272727273 流毒A0.2727272727272727 荼毒B1.0
  	class: 省会  	d: 4  	pt: 2.0  	diff:  省会A1.0 首府B1.0
  	class: 股份  	d: 4  	pt: 2.0  	diff:  股份A1.0 股子B1.0
