learn:jqzx.csv check:mm.csv 	 Result: 	0.29404860406994177 	4538 	1732
  	class: 割裂  	d: 7  	pt: 2.0  	diff:  隔离A0.8 隔绝A0.2 隔断B1.0
  	class: 阶  	d: 2  	pt: 2.0  	diff:  阶梯A1.0 台阶B1.0
  	class: 驻地  	d: 7  	pt: 2.0  	diff:  基地A1.0 大本营B1.0
  	class: 交叉  	d: 7  	pt: 2.0  	diff:  交叉A1.0 叉B0.5 接力B0.5
  	class: 铲  	d: 3  	pt: 2.0  	diff:  铲子A1.0 铲B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模型A1.0 模子B1.0
  	class: 称  	d: 8  	pt: 2.0  	diff:  过磅A1.0 志B1.0
  	class: 赛车  	d: 2  	pt: 2.0  	diff:  赛车A1.0 跑车B1.0
  	class: 罐子  	d: 3  	pt: 2.0  	diff:  罐子A1.0 罐头B1.0
  	class: 船  	d: 9  	pt: 2.0  	diff:  船A1.0 艇B1.0
  	class: 票据  	d: 2  	pt: 2.0  	diff:  票据A1.0 券B1.0
  	class: 门票  	d: 2  	pt: 2.0  	diff:  门票A1.0 入场券B1.0
  	class: 号码  	d: 3  	pt: 2.0  	diff:  编号A1.0 号码B0.75 码子B0.25
  	class: 书籍  	d: 8  	pt: 2.0  	diff:  书籍A0.85 图书A0.15 本本B1.0
  	class: 书桌  	d: 6  	pt: 2.0  	diff:  书桌A1.0 办公桌B1.0
  	class: 橱  	d: 5  	pt: 2.0  	diff:  橱柜A1.0 柜子B1.0
  	class: 档案  	d: 2  	pt: 2.0  	diff:  档案A1.0 档B1.0
  	class: 一会儿  	d: 20  	pt: 2.0  	diff:  少时A1.0 会儿B1.0
  	class: 漏  	d: 3  	pt: 2.0  	diff:  渗透A0.5 渗漏A0.5 漏B1.0
  	class: 领子  	d: 3  	pt: 2.0  	diff:  领口A1.0 领子B1.0
  	class: 粮食  	d: 4  	pt: 2.0  	diff:  粮食A1.0 粮B1.0
  	class: 向  	d: 12  	pt: 2.0  	diff:  通向A0.8181818181818182 径向A0.18181818181818182 奔B0.5 朝向B0.5
  	class: 一生  	d: 10  	pt: 2.0  	diff:  毕生A1.0 终生B1.0
  	class: 生活  	d: 12  	pt: 2.0  	diff:  光阴A0.5 过日子A0.5 日子B0.9 衣食住行B0.1
