learn:gkw.csv check:jqzx.csv 	 Result: 	0.21188166236051553 	6984 	2547
  	class: 喷  	d: 15  	pt: 2.0  	diff:  喷A0.18421052631578946 喷射A0.13157894736842105 喷涌A0.02631578947368421 滋A0.05263157894736842 射A0.39473684210526316 喷洒A0.05263157894736842 喷气A0.15789473684210525 迸发B1.0
  	class: 公开  	d: 16  	pt: 2.0  	diff:  当众A1.0 自明B1.0
  	class: 座位  	d: 6  	pt: 2.0  	diff:  席位A0.7142857142857143 坐位A0.2857142857142857 座位B1.0
  	class: 交界  	d: 6  	pt: 2.0  	diff:  交界A1.0 邻接B1.0
  	class: 险些  	d: 4  	pt: 2.0  	diff:  差点A1.0 险B1.0
  	class: 弯路  	d: 4  	pt: 2.0  	diff:  弯路A1.0 弯道B1.0
  	class: 航路  	d: 4  	pt: 2.0  	diff:  航程A1.0 航线B1.0
  	class: 深奥  	d: 12  	pt: 2.0  	diff:  深邃A1.0 艰深B1.0
  	class: 好歹  	d: 5  	pt: 2.0  	diff:  好歹A1.0 不顾B1.0
  	class: 骄傲  	d: 63  	pt: 2.0  	diff:  骄傲A0.8333333333333334 高傲A0.16666666666666666 傲慢B1.0
  	class: 坚定  	d: 25  	pt: 2.0  	diff:  坚A0.2222222222222222 不懈A0.2222222222222222 死活A0.3333333333333333 意志力A0.1111111111111111 坚毅A0.1111111111111111 坚定B1.0
  	class: 风度  	d: 16  	pt: 2.0  	diff:  气质A1.0 风范B0.5 风采B0.5
  	class: 概况  	d: 8  	pt: 2.0  	diff:  概况A1.0 轮廓B1.0
  	class: 病情  	d: 3  	pt: 2.0  	diff:  病情A1.0 病状B1.0
  	class: 笑柄  	d: 3  	pt: 2.0  	diff:  笑料A1.0 笑谈B1.0
  	class: 幻境  	d: 5  	pt: 2.0  	diff:  幻影A1.0 幻境B1.0
  	class: 局部性  	d: 2  	pt: 2.0  	diff:  局部性A1.0 区域性B1.0
  	class: 利弊  	d: 4  	pt: 2.0  	diff:  得失A1.0 优缺点B0.9411764705882353 利弊B0.058823529411764705
  	class: 一方面  	d: 8  	pt: 2.0  	diff:  单方面A1.0 单向B1.0
  	class: 品行  	d: 7  	pt: 2.0  	diff:  操守A1.0 品行B1.0
  	class: 气量  	d: 6  	pt: 2.0  	diff:  气量A1.0 度量B1.0
  	class: 尊敬  	d: 11  	pt: 2.0  	diff:  尊敬A0.5 尊崇A0.5 敬意B1.0
  	class: 阴谋  	d: 6  	pt: 2.0  	diff:  诡计A1.0 阴谋B1.0
  	class: 盟国  	d: 6  	pt: 2.0  	diff:  盟友A1.0 盟军B1.0
  	class: 举动  	d: 7  	pt: 2.0  	diff:  举动A0.7272727272727273 举止A0.2727272727272727 举措B1.0
  	class: 捐税  	d: 8  	pt: 2.0  	diff:  税收A1.0 税B1.0
