learn:dsjwz.csv check:jqzx.csv 	 Result: 	0.17495377868796333 	5443 	2292
  	class: 指导性  	d: 2  	pt: 2.0  	diff:  指令性A1.0 指导性B1.0
  	class: 力气  	d: 4  	pt: 2.0  	diff:  马力A1.0 力气B1.0
  	class: 外号  	d: 4  	pt: 2.0  	diff:  绰号A1.0 外号B1.0
  	class: 完全  	d: 11  	pt: 2.0  	diff:  全盘A1.0 意B1.0
  	class: 全家  	d: 6  	pt: 2.0  	diff:  一家子A1.0 全家B1.0
  	class: 订约  	d: 11  	pt: 2.0  	diff:  协定A0.6666666666666666 签订A0.3333333333333333 订B1.0
  	class: 婉转  	d: 13  	pt: 2.0  	diff:  委婉A1.0 圆润B1.0
  	class: 写信  	d: 8  	pt: 2.0  	diff:  致函A0.3333333333333333 写信A0.6666666666666666 上书B1.0
  	class: 监狱  	d: 18  	pt: 2.0  	diff:  看守所A1.0 监狱B1.0
  	class: 电影院  	d: 5  	pt: 2.0  	diff:  电影院A1.0 影院B1.0
  	class: 体育场  	d: 3  	pt: 2.0  	diff:  体育场A1.0 运动场B1.0
  	class: 谄媚  	d: 32  	pt: 2.0  	diff:  捧A0.6 取悦A0.2 捧场A0.2 吹捧B1.0
  	class: 繁多  	d: 17  	pt: 2.0  	diff:  什锦A0.5 形形色色A0.5 繁多B1.0
  	class: 麻痹  	d: 11  	pt: 2.0  	diff:  松懈A1.0 松散B0.125 松弛B0.875
  	class: 健康  	d: 27  	pt: 2.0  	diff:  强健A1.0 强壮B1.0
  	class: 沉  	d: 7  	pt: 2.0  	diff:  沉A1.0 下移B0.5 降下B0.5
  	class: 飞驰  	d: 5  	pt: 2.0  	diff:  飞驰A1.0 奔驰B1.0
  	class: 衰落  	d: 23  	pt: 2.0  	diff:  萎缩A1.0 中落B1.0
  	class: 活像  	d: 8  	pt: 2.0  	diff:  神似A1.0 俨然B1.0
  	class: 活泼  	d: 11  	pt: 2.0  	diff:  外向A1.0 活泼B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  痛心A1.0 悲壮B1.0
  	class: 悲伤  	d: 22  	pt: 2.0  	diff:  伤心A1.0 悲伤B1.0
  	class: 心安  	d: 7  	pt: 2.0  	diff:  宽慰A1.0 欣慰B1.0
  	class: 称霸  	d: 3  	pt: 2.0  	diff:  称霸A1.0 独霸B1.0
  	class: 适逢  	d: 6  	pt: 2.0  	diff:  正当A1.0 时值B0.25 适值B0.75
  	class: 喊  	d: 13  	pt: 2.0  	diff:  喊A0.8 喊话A0.2 叫唤B1.0
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  压迫A0.3333333333333333 榨取A0.3333333333333333 压榨A0.3333333333333333 刮B1.0
  	class: 沉浸  	d: 3  	pt: 2.0  	diff:  沐浴A1.0 沉浸B1.0
  	class: 吸  	d: 6  	pt: 2.0  	diff:  吸气A1.0 抽烟B0.3333333333333333 吸烟B0.6666666666666666
  	class: 挥动  	d: 7  	pt: 2.0  	diff:  挥舞A1.0 挥动B1.0
  	class: 倾听  	d: 7  	pt: 2.0  	diff:  聆A0.9 倾听A0.1 聆听B1.0
  	class: 爆裂  	d: 7  	pt: 2.0  	diff:  爆裂A1.0 爆B1.0
  	class: 得志  	d: 9  	pt: 2.0  	diff:  得志A1.0 得意B1.0
  	class: 祷告  	d: 7  	pt: 2.0  	diff:  祈祷A1.0 弥散B1.0
  	class: 怜悯  	d: 16  	pt: 2.0  	diff:  同情A1.0 怜悯B1.0
  	class: 冲击  	d: 4  	pt: 2.0  	diff:  厮杀A1.0 冲锋B1.0
  	class: 保卫  	d: 5  	pt: 2.0  	diff:  捍卫A1.0 卫B1.0
  	class: 惩办  	d: 16  	pt: 2.0  	diff:  收拾A1.0 处置B1.0
  	class: 吹嘘  	d: 4  	pt: 2.0  	diff:  吹嘘A1.0 鼓吹B1.0
  	class: 招揽  	d: 4  	pt: 2.0  	diff:  做广告A1.0 招揽B1.0
  	class: 号召  	d: 5  	pt: 2.0  	diff:  号召A1.0 召唤B1.0
  	class: 表扬  	d: 4  	pt: 2.0  	diff:  表扬A1.0 表彰B1.0
  	class: 选拔  	d: 2  	pt: 2.0  	diff:  遴选A1.0 选拔B1.0
  	class: 借债  	d: 9  	pt: 2.0  	diff:  借贷A1.0 借款B1.0
  	class: 讨债  	d: 7  	pt: 2.0  	diff:  追回A1.0 讨债B1.0
  	class: 传导  	d: 4  	pt: 2.0  	diff:  传导A1.0 导B1.0
  	class: 滚动  	d: 6  	pt: 2.0  	diff:  滚A1.0 滚动B1.0
  	class: 驱逐  	d: 6  	pt: 2.0  	diff:  赶走A1.0 驱逐B1.0
  	class: 汇款  	d: 5  	pt: 2.0  	diff:  电汇A1.0 汇款B1.0
