learn:dsjwz.csv check:gkw.csv 	 Result: 	0.20334924609206384 	7066 	2612
  	class: 长势  	d: 6  	pt: 2.0  	diff:  涨势A0.75 走势A0.25 长势B1.0
  	class: 反射  	d: 6  	pt: 2.0  	diff:  映A1.0 反射B1.0
  	class: 料理  	d: 6  	pt: 2.0  	diff:  经纪A1.0 料理B0.5 理B0.5
  	class: 诱导性  	d: 2  	pt: 2.0  	diff:  诱惑性A1.0 诱导性B1.0
  	class: 局部性  	d: 2  	pt: 2.0  	diff:  区域性A1.0 局部性B1.0
  	class: 力气  	d: 4  	pt: 2.0  	diff:  马力A1.0 力气B1.0
  	class: 竭力  	d: 31  	pt: 2.0  	diff:  力图A1.0 用力B0.36363636363636365 拼命B0.18181818181818182 使劲B0.2727272727272727 卖力B0.18181818181818182
  	class: 避讳  	d: 7  	pt: 2.0  	diff:  忌讳A0.6666666666666666 切忌A0.3333333333333333 忌B1.0
  	class: 气量  	d: 6  	pt: 2.0  	diff:  度量A1.0 气量B1.0
  	class: 恨  	d: 5  	pt: 2.0  	diff:  怨恨A1.0 恨B1.0
  	class: 意志  	d: 5  	pt: 2.0  	diff:  定性A1.0 意志B1.0
  	class: 食量  	d: 3  	pt: 2.0  	diff:  胃口A1.0 饭量B1.0
  	class: 护身符  	d: 3  	pt: 2.0  	diff:  保护伞A1.0 护身符B1.0
  	class: 储蓄  	d: 6  	pt: 2.0  	diff:  储蓄A1.0 攒B1.0
  	class: 萧条  	d: 5  	pt: 2.0  	diff:  走低A1.0 低迷B1.0
  	class: 写信  	d: 8  	pt: 2.0  	diff:  致函A0.3333333333333333 写信A0.6666666666666666 来信B1.0
  	class: 监狱  	d: 18  	pt: 2.0  	diff:  看守所A1.0 囚笼B1.0
  	class: 总店  	d: 5  	pt: 2.0  	diff:  母公司A1.0 总局B1.0
  	class: 奇数  	d: 2  	pt: 2.0  	diff:  奇数A1.0 单数B1.0
  	class: 贫乏  	d: 7  	pt: 2.0  	diff:  匮乏A1.0 枯竭B1.0
  	class: 宽敞  	d: 10  	pt: 2.0  	diff:  宽敞A1.0 宽阔B1.0
  	class: 安静  	d: 35  	pt: 2.0  	diff:  沉寂A1.0 沉静B1.0
  	class: 繁多  	d: 17  	pt: 2.0  	diff:  什锦A0.5 形形色色A0.5 繁多B1.0
  	class: 麻痹  	d: 11  	pt: 2.0  	diff:  松懈A1.0 松散B0.47058823529411764 松弛B0.5294117647058824
  	class: 直率  	d: 14  	pt: 2.0  	diff:  简捷A0.6666666666666666 露骨A0.3333333333333333 坦承B0.2 脆B0.8
  	class: 新式  	d: 12  	pt: 2.0  	diff:  新颖A1.0 新式B1.0
  	class: 活像  	d: 8  	pt: 2.0  	diff:  神似A1.0 酷似B1.0
